rmse_rad,failure_penalized_rmse_rad,itae,peak_error_rad,torque_rms,torque_smoothness,safety_violation_rate,residual_gate_mean,completed,duration_s,return,scenario,controller,model_seed,replicate_seed,eval_episode
0.007041378744567351,0.007041378744567351,0.012556424818965718,0.04405094876795838,16.15218310525313,5.853079787463447,0.0,1.0,1.0,6.0,-325.47112725621975,nominal,Adaptive computed torque,-1,0,0
0.0038940875148746946,0.0038940875148746946,0.01169692334687937,0.025528565216434297,16.144949145002403,5.265126075905047,0.0,1.0,1.0,6.0,-324.72280326601754,nominal,Adaptive computed torque,-1,0,1
0.007387744352804915,0.007387744352804915,0.012736692223971374,0.04538200789467301,16.133633613607383,5.267756342668488,0.0,1.0,1.0,6.0,-324.24843407034024,nominal,Adaptive computed torque,-1,0,2
0.005880257358014332,0.005880257358014332,0.012304026946566474,0.03588648057491062,16.127384300853524,5.237471364605529,0.0,1.0,1.0,6.0,-323.78652235565517,nominal,Adaptive computed torque,-1,0,3
0.009782919556841211,0.009782919556841211,0.013400746454810767,0.06098342658585899,16.139442995805712,5.277105848968357,0.0,1.0,1.0,6.0,-327.25911246540414,nominal,Adaptive computed torque,-1,1,0
0.007656758629979566,0.007656758629979566,0.012288142455100785,0.048984836231550574,16.152370997588616,7.133249511169546,0.0,1.0,1.0,6.0,-326.22034652775346,nominal,Adaptive computed torque,-1,1,1
0.007504085804494198,0.007504085804494198,0.01284816116602453,0.043554233426145374,16.143208388120364,5.410620847940881,0.0,1.0,1.0,6.0,-324.81812613945306,nominal,Adaptive computed torque,-1,1,2
0.00868805592154022,0.00868805592154022,0.012914890378344271,0.0564343782288078,16.13726715416245,5.394950042368407,0.0,1.0,1.0,6.0,-326.2392784000445,nominal,Adaptive computed torque,-1,1,3
0.008487255188965287,0.008487255188965287,0.012859260735814712,0.05503050742438225,16.136973760134836,5.396936844749936,0.0,1.0,1.0,6.0,-326.2083699055876,nominal,Adaptive computed torque,-1,2,0
0.008547285222349661,0.008547285222349661,0.012870507439439734,0.054962933726735025,16.13131594973591,5.379904985881669,0.0,1.0,1.0,6.0,-325.88906609520757,nominal,Adaptive computed torque,-1,2,1
0.012326993854740108,0.012326993854740108,0.014000116234666916,0.07966332656206988,16.135723145554337,5.27976521156306,0.0,1.0,1.0,6.0,-328.81216063124157,nominal,Adaptive computed torque,-1,2,2
