scenario,controller,rmse_rad_mean,rmse_rad_std,rmse_rad_count,failure_penalized_rmse_rad_mean,failure_penalized_rmse_rad_std,failure_penalized_rmse_rad_count,itae_mean,itae_std,itae_count,peak_error_rad_mean,peak_error_rad_std,peak_error_rad_count,torque_rms_mean,torque_rms_std,torque_rms_count,torque_smoothness_mean,torque_smoothness_std,torque_smoothness_count,safety_violation_rate_mean,safety_violation_rate_std,safety_violation_rate_count,residual_gate_mean_mean,residual_gate_mean_std,residual_gate_mean_count,completed_mean,completed_std,completed_count,duration_s_mean,duration_s_std,duration_s_count,return_mean,return_std,return_count,rmse_rad_sem,rmse_rad_ci95,failure_penalized_rmse_rad_sem,failure_penalized_rmse_rad_ci95,itae_sem,itae_ci95,peak_error_rad_sem,peak_error_rad_ci95,torque_rms_sem,torque_rms_ci95,torque_smoothness_sem,torque_smoothness_ci95,safety_violation_rate_sem,safety_violation_rate_ci95,residual_gate_mean_sem,residual_gate_mean_ci95,completed_sem,completed_ci95,duration_s_sem,duration_s_ci95,return_sem,return_ci95
nominal,Adaptive computed torque,0.0076669692884356235,0.0019883936476557057,20,0.0076669692884356235,0.0019883936476557057,20,0.012684228931533573,0.0005555071278202464,20,0.048489611038258086,0.0134050030576934,20,16.13926533839644,0.007320929256201741,20,5.626982907989613,0.60449337523071,20,0.0,0.0,20,1.0,0.0,20,1.0,0.0,20,6.0,0.0,20,-325.620636391595,1.3624070285563863,20,0.0004446183362186923,0.0008714519389886369,0.0004446183362186923,0.0008714519389886369,0.00012421516997917353,0.00024346173315918011,0.0029974498075594977,0.0058750016228166155,0.0016370095475334065,0.0032085387131654767,0.13516882789641552,0.2649309026769744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30464347288755766,0.597101206859613
nominal,Computed torque,0.00766747219110019,0.001988238399562966,20,0.00766747219110019,0.001988238399562966,20,0.013002600969825412,0.000555507890315723,20,0.048489611038258086,0.0134050030576934,20,16.13911684817056,0.0073209307026418195,20,5.627086836874302,0.6044933750262736,20,0.0,0.0,20,1.0,0.0,20,1.0,0.0,20,6.0,0.0,20,-325.61225626944315,1.362406990468326,20,0.000444583621689818,0.0008713838985120432,0.000444583621689818,0.0008713838985120432,0.00012421534047834536,0.0002434620673375569,0.0029974498075594977,0.0058750016228166155,0.0016370098709672406,0.0032085393470957916,0.13516882785070217,0.2649309025873762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30464346437080847,0.5971011901667846
nominal,DDPG direct,0.7177011421817265,0.2511550157818094,20,1.5962997195332775,0.7113421275484568,20,3.045882763437364,2.531546185482311,20,2.065534030299389,0.8068145145162477,20,14.653818682861049,2.099698280943484,20,57.16268315759662,25.857910010241763,20,0.2752341629714927,0.2106602904790507,20,1.0,0.0,20,0.2,0.41039134083406165,20,3.055,1.9264789260803188,20,-1141.322708394283,500.1217153405605,20,0.05615996881781582,0.110073538882919,0.15906093524576753,0.31175943308170434,0.5660709358918738,1.1094990343480726,0.18040920996918208,0.3536020515395969,0.46950680884290813,0.9202333453320999,5.782004453897287,11.332728729638681,0.047105072967100904,0.09232594301551778,0.0,0.0,0.0917662935482247,0.1798619353545204,0.4307737835936385,0.8443166158435315,111.83061525252927,219.18800589495737
nominal,Eval-gated Fuzzy-TD3,0.029897012944897577,0.006042624995686138,20,0.029897012944897577,0.006042624995686138,20,0.33345664409594317,0.04057295341958662,20,0.06529008270209792,0.022808135741847476,20,15.994849036404943,0.023026926520799226,20,32.59617266585039,2.369499872582851,20,0.0,0.0,20,0.03441053625187877,0.013598863681293429,20,1.0,0.0,20,6.0,0.0,20,134.36134208658058,14.907442740355854,20,0.0013511720252893577,0.002648297169567141,0.0013511720252893577,0.002648297169567141,0.009072388189412821,0.01778188085124913,0.005100054195881355,0.009996106223927456,0.005148977301339979,0.010091995510626358,0.5298362787772345,1.0384791064033796,0.0,0.0,0.003040798360812514,0.005959964787192527,0.0,0.0,0.0,0.0,3.3334055338121438,6.533474846271802
nominal,Fuzzy,0.028444421589893472,0.0011551773662508266,20,0.028444421589893472,0.0011551773662508266,20,0.32028604710139824,0.0033292736047215205,20,0.05688875633273951,0.005150914312814684,20,15.991560057790029,0.011104741030345179,20,34.71740559626324,0.9196599060596291,20,0.0,0.0,20,1.0,0.0,20,1.0,0.0,20,6.0,0.0,20,129.41269077396876,3.5005308829471615,20,0.00025830551170060194,0.0005062788029331798,0.00025830551170060194,0.0005062788029331798,0.0007444482095853084,0.0014591184907872044,0.0011517794549730249,0.002257487731747129,0.0024830955816382873,0.004866867340011043,0.20564220661304014,0.40305872496155865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7827425011607212,1.5341753022750135
nominal,Fuzzy-SAC residual,0.2814269700820817,0.08351872318294375,20,0.2814269700820817,0.08351872318294375,20,5.651363623068619,1.759780782973455,20,0.448010347893387,0.12418193320026745,20,16.942611670278804,0.3072353764439784,20,120.05391856656168,79.64898055503006,20,0.028666666666666667,0.05882275885288217,20,1.0,0.0,20,1.0,0.0,20,6.0,0.0,20,-352.4720962905966,165.96424225518984,20,0.018675354243104982,0.03660369431648577,0.018675354243104982,0.03660369431648577,0.393498945622645,0.7712579334203842,0.0277679244213136,0.054425131865774655,0.06869991868214734,0.13465184061700877,17.810053485960616,34.90770483248281,0.013153168741912209,0.025780210734147928,0.0,0.0,0.0,0.0,0.0,0.0,37.11073275168475,72.7370361933021
nominal,Fuzzy-TD3 residual,0.11842106547246001,0.019882451387494383,20,0.11842106547246001,0.019882451387494383,20,2.0462067088833615,0.14254299156063838,20,0.23385912298814698,0.08686095113938255,20,16.343313414650947,0.26272253060160455,20,89.78690561687058,53.167184355817376,20,0.0,0.0,20,1.0,0.0,20,1.0,0.0,20,6.0,0.0,20,-29.218963024112213,38.67458531289612,20,0.004445851286177245,0.0087138685209074,0.004445851286177245,0.0087138685209074,0.031873581884576625,0.062472220493770186,0.01942269913379472,0.03806849030223765,0.05874654376459565,0.11514322577860747,11.8885438391871,23.301545924806717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.64790017612507,16.949884345205138
nominal,Gated Fuzzy-TD3,0.0698387021833192,0.061519675832246316,20,0.0698387021833192,0.061519675832246316,20,0.950748077806393,0.702664314861325,20,0.13437893770686576,0.12623244181060034,20,15.921344062797232,0.2300486765986647,20,58.52786040273111,60.8453170205867,20,0.0,0.0,20,0.1505100195499389,0.10434081718493278,20,1.0,0.0,20,6.0,0.0,20,55.44126892747911,95.0909336309456,20,0.01375621771146537,0.026962186714472126,0.01375621771146537,0.026962186714472126,0.15712051733932383,0.3079562139850747,0.028226432085428896,0.05532380688744064,0.05144044790084794,0.10082327788566196,13.605426497055682,26.666635934229134,0.0,0.0,0.023331316005338793,0.045729379370464035,0.0,0.0,0.0,0.0,21.262979164271524,41.675439161972186
nominal,PID,0.039375540896131,0.0011865700380704932,20,0.039375540896131,0.0011865700380704932,20,0.5731712294940996,0.015513912437074832,20,0.07655193739614183,0.0012917232273841489,20,21.508454954614848,0.5421049807596563,20,1160.8700598496923,100.06823588531094,20,0.0,0.0,20,1.0,0.0,20,1.0,0.0,20,6.0,0.0,20,-1323.619429634577,93.85491369577458,20,0.0002653251265190136,0.0005200372479772666,0.0002653251265190136,0.0005200372479772666,0.0034690162806278752,0.006799271910030635,0.00028883809445463745,0.0005661226651310894,0.1212183587919807,0.23758798323228217,22.37593778280391,43.856838054295665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.986596704612797,41.133729541041085
nominal,Robust PID / SMC,0.12656183518713154,0.0007848818680526499,20,0.12656183518713154,0.0007848818680526499,20,1.9731073064288662,0.004747600431284433,20,0.18847464054159957,0.00047213239173054107,20,28.550846264911065,0.02811939472541305,20,2345.762697879264,4.336383597035979,20,0.0,0.0,20,1.0,0.0,20,1.0,0.0,20,6.0,0.0,20,-2553.3916214559604,5.6788277860922065,20,0.00017550492112727457,0.00034398964540945814,0.00017550492112727457,0.00034398964540945814,0.001061595729435931,0.0020807276296944247,0.00010557201222890494,0.00020692114396865367,0.006287687809217261,0.012323868106065831,0.9696448499487506,1.900503905899551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2698244962216807,2.488856012594494
