rmse_rad,failure_penalized_rmse_rad,itae,peak_error_rad,torque_rms,torque_smoothness,safety_violation_rate,residual_gate_mean,completed,duration_s,return,scenario,controller,residual_bound_nm,model_seed,eval_episode
0.1787719475074826,0.1787719475074826,2.9855683878211825,0.28643677029534964,15.852142040767388,62.41127126683641,0.0,1.0,1.0,6.0,-119.44006809688094,nominal,Fuzzy-TD3 residual,6.0,0,0
0.1782197984567982,0.1782197984567982,2.9823486091745908,0.28572831697757045,15.8260121572525,65.8098122338571,0.0,1.0,1.0,6.0,-109.14106396405238,nominal,Fuzzy-TD3 residual,6.0,0,1
0.17842044912378355,0.17842044912378355,2.9839802070589965,0.28671946844349333,15.838687483823579,62.60972213058502,0.0,1.0,1.0,6.0,-108.65326076829326,nominal,Fuzzy-TD3 residual,6.0,0,2
0.17855768085412585,0.17855768085412585,2.9845833321988664,0.28658640732629775,15.82727434325352,61.810759519727654,0.0,1.0,1.0,6.0,-113.22274355549759,nominal,Fuzzy-TD3 residual,6.0,0,3
0.4408741266289501,0.4408741266289501,6.815456949436483,1.063360427931959,18.53227804683728,81.85792705987582,0.19333333333333333,1.0,1.0,6.0,-1025.7918817479635,payload_2x,Fuzzy-TD3 residual,6.0,0,0
0.43936296520112783,0.43936296520112783,6.832676337796123,1.0595482018144036,18.517951415829533,83.88954441859474,0.19333333333333333,1.0,1.0,6.0,-1012.4498401334813,payload_2x,Fuzzy-TD3 residual,6.0,0,1
0.4397032661179161,0.4397032661179161,6.803607263538411,1.0586169371304457,18.544324689088928,83.41827807305465,0.19333333333333333,1.0,1.0,6.0,-1012.1708851285678,payload_2x,Fuzzy-TD3 residual,6.0,0,2
0.43921104263020316,0.43921104263020316,6.829418637775797,1.0586385122325614,18.5226073335528,80.48281592163647,0.19333333333333333,1.0,1.0,6.0,-1015.8352977622262,payload_2x,Fuzzy-TD3 residual,6.0,0,3
0.7918850958866994,0.7918850958866994,11.810580730060009,1.886963906300172,15.516534772941577,46.10072182908963,0.29,1.0,1.0,6.0,-2648.897648961649,severe_shift,Fuzzy-TD3 residual,6.0,0,0
0.7907713644258018,0.7907713644258018,11.876991295745015,1.8818372932662981,15.5072569976747,47.61972081043704,0.29,1.0,1.0,6.0,-2643.545750487174,severe_shift,Fuzzy-TD3 residual,6.0,0,1
0.7918624338066327,0.7918624338066327,11.845769238440017,1.8840330068748068,15.512489106154796,44.61630292599738,0.2866666666666667,1.0,1.0,6.0,-2639.510629040256,severe_shift,Fuzzy-TD3 residual,6.0,0,2
0.7907745569882286,0.7907745569882286,11.878091872895075,1.8814861772217226,15.506324021283545,43.57139812295549,0.29,1.0,1.0,6.0,-2647.3347186198857,severe_shift,Fuzzy-TD3 residual,6.0,0,3
0.1476802429970535,0.1476802429970535,2.8988655476526386,0.2203711902431371,16.69367241574285,263.31937375865147,0.0,1.0,1.0,6.0,-112.87809018136024,nominal,Fuzzy-TD3 residual,6.0,1,0
0.1476701009892814,0.1476701009892814,2.8766558494601604,0.2220950421067744,16.796683045743517,265.8804303914746,0.0,1.0,1.0,6.0,-121.9123234936175,nominal,Fuzzy-TD3 residual,6.0,1,1
0.1479288638897642,0.1479288638897642,2.9003601287056746,0.22036676828559665,16.684411511341775,263.0864712251344,0.0,1.0,1.0,6.0,-114.14001080659746,nominal,Fuzzy-TD3 residual,6.0,1,2
0.14672625212434479,0.14672625212434479,2.8838613151354338,0.22095057233046564,16.72826573018543,261.357096480441,0.0,1.0,1.0,6.0,-109.67258051280247,nominal,Fuzzy-TD3 residual,6.0,1,3
0.43132606635166904,0.43132606635166904,6.372591934927289,1.0673022714804972,18.69988834265356,149.04918461637678,0.19333333333333333,1.0,1.0,6.0,-975.8348094687833,payload_2x,Fuzzy-TD3 residual,6.0,1,0
0.4284402951200673,0.4284402951200673,6.286380536985647,1.058491202453632,18.835477843334527,149.48691150420194,0.19333333333333333,1.0,1.0,6.0,-966.763793322949,payload_2x,Fuzzy-TD3 residual,6.0,1,1
0.43020533228904345,0.43020533228904345,6.354453034849308,1.0630363425165135,18.699597891070923,148.3342481233359,0.19333333333333333,1.0,1.0,6.0,-973.7030429520953,payload_2x,Fuzzy-TD3 residual,6.0,1,2
0.4304053157894007,0.4304053157894007,6.348643149404264,1.06587007462276,18.73963397862095,146.6180700007681,0.19333333333333333,1.0,1.0,6.0,-970.8056102556661,payload_2x,Fuzzy-TD3 residual,6.0,1,3
0.7769858296368273,0.7769858296368273,11.372421092115886,1.8584937268091146,15.694396601565234,90.77936878178956,0.2866666666666667,1.0,1.0,6.0,-2552.046713959586,severe_shift,Fuzzy-TD3 residual,6.0,1,0
0.7758975704704143,0.7758975704704143,11.299828849383614,1.8551428970660089,15.815868472455044,92.70981922604166,0.2866666666666667,1.0,1.0,6.0,-2545.735257387102,severe_shift,Fuzzy-TD3 residual,6.0,1,1
0.7765095398774297,0.7765095398774297,11.369709025201118,1.8565634544962129,15.68255527619583,88.58032727722806,0.2866666666666667,1.0,1.0,6.0,-2550.9056183242333,severe_shift,Fuzzy-TD3 residual,6.0,1,2
0.7762192565409123,0.7762192565409123,11.346699127511181,1.8569559744002346,15.737573287912225,89.07248427543047,0.2866666666666667,1.0,1.0,6.0,-2546.3070496110904,severe_shift,Fuzzy-TD3 residual,6.0,1,3
0.1457609532494,0.1457609532494,2.36039376259661,0.30194898710956264,16.244669480502246,86.10608734684189,0.0,1.0,1.0,6.0,-72.74741261318883,nominal,Fuzzy-TD3 residual,6.0,2,0
0.14667961338275318,0.14667961338275318,2.3597721459972654,0.3019311703172418,16.237303234014508,89.25474908043431,0.0,1.0,1.0,6.0,-76.9747752678267,nominal,Fuzzy-TD3 residual,6.0,2,1
0.14530193815091635,0.14530193815091635,2.357344581836126,0.301935502676641,16.22795033808353,85.48386958379425,0.0,1.0,1.0,6.0,-70.89016543770202,nominal,Fuzzy-TD3 residual,6.0,2,2
0.14627093387482487,0.14627093387482487,2.354132325796489,0.3018859347528882,16.16855202547474,85.46483295707368,0.0,1.0,1.0,6.0,-73.31266585060028,nominal,Fuzzy-TD3 residual,6.0,2,3
0.4740383320865166,0.4740383320865166,7.312247129089445,1.135133449965283,18.088987290285925,48.72868997932696,0.21333333333333335,1.0,1.0,6.0,-1162.1823979377245,payload_2x,Fuzzy-TD3 residual,6.0,2,0
0.4751491376920379,0.4751491376920379,7.313551687713036,1.1402309619538764,18.044135347956434,47.15495675658597,0.21666666666666667,1.0,1.0,6.0,-1168.2519166071277,payload_2x,Fuzzy-TD3 residual,6.0,2,1
0.4750851408947333,0.4750851408947333,7.32155920486473,1.1409438089666906,18.038385413318945,42.4313712899766,0.21666666666666667,1.0,1.0,6.0,-1163.8636033561218,payload_2x,Fuzzy-TD3 residual,6.0,2,2
0.4745633149364284,0.4745633149364284,7.314296023527701,1.136249368383718,18.002677086187234,44.301813427741905,0.21666666666666667,1.0,1.0,6.0,-1162.6448859992868,payload_2x,Fuzzy-TD3 residual,6.0,2,3
0.8135137276418997,0.8135137276418997,12.083876400604474,1.9488562409006196,15.18168200818595,30.34972505196356,0.2966666666666667,1.0,1.0,6.0,-2775.2145440914383,severe_shift,Fuzzy-TD3 residual,6.0,2,0
0.81454908403426,0.81454908403426,12.122867056118636,1.9513907020200052,15.148507470310449,32.828128108031926,0.29333333333333333,1.0,1.0,6.0,-2783.0663988869114,severe_shift,Fuzzy-TD3 residual,6.0,2,1
0.8134145681107348,0.8134145681107348,12.053754237916506,1.9516686176065372,15.170432363757646,30.175687339128125,0.2966666666666667,1.0,1.0,6.0,-2771.935875793746,severe_shift,Fuzzy-TD3 residual,6.0,2,2
0.8144202055757821,0.8144202055757821,12.104253197930047,1.9502009976717274,15.095955490835083,29.20758965905778,0.2966666666666667,1.0,1.0,6.0,-2772.1300470077963,severe_shift,Fuzzy-TD3 residual,6.0,2,3
