controller,timesteps,eval_rmse_rad,eval_return
sac_direct,1200,1.2374611447009272,-1317.2833779856453
sac_direct,2400,1.4280653115141562,-2934.907554021555
sac_direct,3600,1.0949954719274553,-1042.027066055972
sac_direct,4800,0.9730325246291706,-1056.3279470818081
sac_direct,6000,0.9435514879801373,-1172.3125969383966
sac_direct,7200,0.9706608939086268,-1221.4242992025645
sac_direct,8400,1.0777407986156022,-1125.6877037483175
sac_direct,9600,0.9898075804542087,-1274.0175947722244
sac_direct,10800,0.9357825606385991,-1289.2738255334907
sac_direct,12000,0.8184021310642535,-996.6577165157827
