controller,timesteps,eval_rmse_rad,eval_return
fuzzy_sac,1200,0.3617159318867124,-707.8263784195195
fuzzy_sac,2400,0.28253798625421767,-489.2443339359199
fuzzy_sac,3600,0.2966335292362649,-506.2969077850467
fuzzy_sac,4800,0.2829479253429329,-466.2473861707569
fuzzy_sac,6000,0.33851735203098254,-567.5659749199903
fuzzy_sac,7200,0.23639955355309053,-344.6021350464144
fuzzy_sac,8400,0.2766740300614831,-413.9243403452011
fuzzy_sac,9600,0.24179402208476572,-362.02484318638625
fuzzy_sac,10800,0.25028596971159256,-386.0300941160619
fuzzy_sac,12000,0.24900744891642335,-395.6698791294013
