controller,timesteps,eval_rmse_rad,eval_return
fuzzy_td3,1200,1.1800376605536158,-4613.943831690474
fuzzy_td3,2400,0.3271644375927332,-553.9377197238779
fuzzy_td3,3600,0.2908770025724878,-411.7646692569992
fuzzy_td3,4800,0.2656806209090522,-350.28389012127786
fuzzy_td3,6000,0.2464431391137947,-310.44866258656015
fuzzy_td3,7200,0.2390232589342388,-296.4056813500387
fuzzy_td3,8400,0.25070244254655055,-301.3522931875196
fuzzy_td3,9600,0.25398304116802733,-307.14946458134267
fuzzy_td3,10800,0.24717969350896674,-340.976491791521
fuzzy_td3,12000,0.23433663531942436,-312.4967291973092
