controller,timesteps,eval_rmse_rad,eval_return
fuzzy_td3,1500,0.278226920597439,-426.5951194589461
fuzzy_td3,3000,0.2758719974822556,-363.0922351973282
fuzzy_td3,4500,0.2315544444181675,-308.57071926890666
fuzzy_td3,6000,0.21532964162955703,-310.1498771883666
fuzzy_td3,7500,0.21433350707319207,-291.1062384380403
fuzzy_td3,9000,0.20767103701844547,-293.05138024497944
fuzzy_td3,10500,0.2233683066791834,-324.50441825202205
fuzzy_td3,12000,0.21541893747133967,-323.0032464623254
fuzzy_td3,13500,0.19540854450412756,-280.9685716729127
fuzzy_td3,15000,0.19368726612571394,-265.3136085973258
