controller,timesteps,eval_rmse_rad,eval_return
td3_direct,1200,1.293848061606391,-1451.0938927734962
td3_direct,2400,1.0529096269103617,-1189.5807182509932
td3_direct,3600,0.7657459339762364,-977.0466639095536
td3_direct,4800,0.7784230713067654,-988.2453633298974
td3_direct,6000,0.744148368383089,-1006.3693241093696
td3_direct,7200,0.6667823577859114,-1076.5260413746057
td3_direct,8400,0.6236134807351582,-1210.8432141351248
td3_direct,9600,0.7650779756691549,-1983.3317003711884
td3_direct,10800,0.9284243215300051,-3721.8975729157514
td3_direct,12000,0.8521154654753262,-2260.427405239399
