controller,timesteps,eval_rmse_rad,eval_return
sac_direct,1200,0.826894200230213,-1250.1505277779913
sac_direct,2400,0.8522743759562091,-1930.6899687542816
sac_direct,3600,0.7272870562069672,-1448.9323220938302
sac_direct,4800,0.60450251518308,-1534.7257344095724
sac_direct,6000,0.5723159574913884,-1604.2433865718347
sac_direct,7200,0.5180105138411616,-1463.2089489327516
sac_direct,8400,0.44976006282038794,-1209.346246894719
sac_direct,9600,0.3848358643839285,-1062.3051016051888
sac_direct,10800,0.39622137983384054,-1118.412516534584
sac_direct,12000,0.4414421107082527,-1241.6115590011364
