controller,timesteps,eval_rmse_rad,eval_return
fuzzy_sac,1200,0.3217300326742442,-537.1898270004334
fuzzy_sac,2400,0.287770025155078,-442.8589001993139
fuzzy_sac,3600,0.2518358129988545,-387.38174169317546
fuzzy_sac,4800,0.23671202114580672,-353.3939254788884
fuzzy_sac,6000,0.2320428103571969,-361.59521629114516
fuzzy_sac,7200,0.25702062405726406,-375.9722020513343
fuzzy_sac,8400,0.261122664934228,-372.8777697502024
fuzzy_sac,9600,0.24006692577686137,-347.10650528965476
fuzzy_sac,10800,0.25696793673446855,-372.5024714332328
fuzzy_sac,12000,0.24455058636906377,-365.14418440347026
