controller,timesteps,eval_rmse_rad,eval_return
ddpg_direct,1200,1.115242931783308,-1093.2904565635458
ddpg_direct,2400,1.227630003676002,-1791.1028109315014
ddpg_direct,3600,0.7565865820511455,-1632.2527825269078
ddpg_direct,4800,0.5775965917071361,-1203.122497451847
ddpg_direct,6000,0.7482015225638435,-1441.6367921972421
ddpg_direct,7200,0.6785935921674331,-1108.8664333168952
ddpg_direct,8400,0.5474416205057528,-1588.17497175307
ddpg_direct,9600,0.8669485291305786,-1219.3668532966346
ddpg_direct,10800,0.7885342206546143,-1154.3210112370916
ddpg_direct,12000,0.6478012370557328,-1737.3344638057977
