controller,timesteps,eval_rmse_rad,eval_return
gated_fuzzy_td3,1200,0.36114041480135267,-771.4600964552783
gated_fuzzy_td3,2400,0.30713912660498116,-452.50775953643864
gated_fuzzy_td3,3600,0.28489789405097626,-401.02151297240385
gated_fuzzy_td3,4800,0.29045512873969104,-411.0336590898071
gated_fuzzy_td3,6000,0.2906615299343798,-405.3382174280046
gated_fuzzy_td3,7200,0.2907386007964073,-398.7164677070006
gated_fuzzy_td3,8400,0.3046685613673452,-429.69991759581416
gated_fuzzy_td3,9600,0.3109134093077294,-468.07682887181755
gated_fuzzy_td3,10800,0.31057585426858253,-428.59008050340026
gated_fuzzy_td3,12000,0.31078656259537096,-430.8457034939467
