controller,timesteps,eval_rmse_rad,eval_return
gated_fuzzy_td3,1200,1.0278927281478112,-3935.860473617308
gated_fuzzy_td3,2400,0.32667889776624714,-596.1940377453129
gated_fuzzy_td3,3600,0.28928069440005927,-406.6288473704174
gated_fuzzy_td3,4800,0.2887441760160511,-420.6697163914228
gated_fuzzy_td3,6000,0.29004370238565963,-408.3152909289842
gated_fuzzy_td3,7200,0.2945543795483297,-427.0168655689281
gated_fuzzy_td3,8400,0.28400931028448384,-417.1486914634472
gated_fuzzy_td3,9600,0.29115138208264923,-406.00224693074136
gated_fuzzy_td3,10800,0.2909575641546393,-460.91282566187647
gated_fuzzy_td3,12000,0.289435511782931,-453.6545290792238
