controller,timesteps,eval_rmse_rad,eval_return
fuzzy_sac,1200,0.3290352716312877,-534.3833095973608
fuzzy_sac,2400,0.2823588686975786,-428.3817417247138
fuzzy_sac,3600,0.2398231680402213,-351.9733116871765
fuzzy_sac,4800,0.21000764339618175,-292.9092251738679
fuzzy_sac,6000,0.21913089107920813,-309.7578024375524
fuzzy_sac,7200,0.22498062917094921,-308.13181467550044
fuzzy_sac,8400,0.253387928826739,-358.3075532595963
fuzzy_sac,9600,0.2740272551411571,-405.1959394346056
fuzzy_sac,10800,0.2704952005195288,-401.2586927026277
fuzzy_sac,12000,0.2557509126586754,-388.6273004960056
