controller,timesteps,eval_rmse_rad,eval_return
gated_fuzzy_td3,1200,0.41284919391529745,-887.1662085729154
gated_fuzzy_td3,2400,0.33265533406918624,-576.8173005058887
gated_fuzzy_td3,3600,0.2931151060813066,-406.5183109084897
gated_fuzzy_td3,4800,0.28399366804777615,-395.3093936450464
gated_fuzzy_td3,6000,0.27830650004532204,-412.0567147656623
gated_fuzzy_td3,7200,0.29835562393718407,-451.57002386289884
gated_fuzzy_td3,8400,0.2940759844508735,-438.0627525559887
gated_fuzzy_td3,9600,0.30802509239403975,-477.12907109515373
gated_fuzzy_td3,10800,0.2813216149665379,-426.12834914577223
gated_fuzzy_td3,12000,0.281463483712283,-409.0711662079727
