controller,timesteps,eval_rmse_rad,eval_return
ddpg_direct,1200,1.0667557805254877,-7586.485024884165
ddpg_direct,2400,1.0882680730659982,-883.9857933455934
ddpg_direct,3600,1.0045086091028825,-962.9308443330933
ddpg_direct,4800,1.0369284211848822,-1152.142394664285
ddpg_direct,6000,0.8476298711813515,-961.4994490174673
ddpg_direct,7200,1.2851854173067443,-2036.070101913965
ddpg_direct,8400,1.0934107672739515,-1060.1100916400178
ddpg_direct,9600,1.218290612106907,-980.4630168039497
ddpg_direct,10800,0.8790890518333366,-1011.4715522123506
ddpg_direct,12000,0.9753009243498955,-835.9730638066013
