t,error_norm,torque_rms,torque_smoothness,safety_violation,residual_gate,q1,q2,qd1,qd2,error1,error2,tau1,tau2,supervisor_tau1,supervisor_tau2,residual_tau1,residual_tau2
0.02,0.03717306711708838,17.654854054278285,882.7427027139141,0.0,0.09329802261037606,0.03130381993869813,0.4111363121816267,0.01528847159687587,0.44468248240091773,-0.01601534834182239,0.03354617021929096,24.434188500677855,5.13402139351549,24.43490125347057,5.009337846377447,-0.0007127527927143514,0.12468354713804371
0.04,0.03354257450980083,17.817471483145432,42.46397871426905,0.0,0.10933927038620711,0.04545503680745311,0.4092341235485155,0.030567774339877347,0.439291963140992,-0.014887262467575546,0.030057839592476654,24.875462264808494,4.016958702487501,24.881213109225957,3.86580574501869,-0.005750844417464547,0.15115295746881083
0.06,0.030210835841875498,17.78143395501861,2.169855315414803,0.0,0.10372038456650369,0.05966036974220179,0.4069729671198714,0.045828747197790204,0.4338315005879084,-0.013831622544411726,0.026858533468037127,24.819680810847906,4.042552589763761,24.82541827885814,3.90103299489977,-0.005737468010234201,0.1415195948639907
0.08,0.027162670227020864,17.75050564366894,1.654133773745079,0.0,0.09975752855607721,0.07391404452398698,0.40437422519829047,0.06106224477682705,0.42830416245522424,-0.012851799747159998,0.02392993725693371,24.779172501722492,4.019143110381357,24.78504820812923,3.8841467078799967,-0.005875706406738171,0.13499640250136064
0.1,0.024378300825498182,17.714343779626567,1.8697313007593457,0.0,0.09620473426551424,0.08820865249474963,0.4014642399743673,0.0762591451196154,0.42271302404852323,-0.011949507375134338,0.021248784074155758,24.73084198268984,3.9976750634355884,24.736822162173056,3.8684862636824264,-0.00598017948321662,0.12918879975316205
0.12000000000000001,0.0218386783243038,17.673029693110024,2.1120061627868867,0.0,0.09304251612967727,0.10253646479344436,0.3982692106000112,0.09141035748053888,0.41706116651242575,-0.011126107312905642,0.018791955912414338,24.675143471216103,3.9760849767074173,24.681288889938358,3.8523032993793724,-0.00614541872225684,0.12378167732804495
0.13999999999999999,0.019526358778666035,17.626573732588213,2.3608398409712277,0.0,0.09023098027347376,0.11688960343044474,0.39481454399543114,0.10650683006958868,0.41135167507945797,-0.010382773360856135,0.016537131084026768,24.6121755043727,3.9538614091409388,24.61848925754116,3.8350793629243323,-0.006313753168459306,0.11878204621660668
0.16,0.017426181767361843,17.574846298887373,2.619356457303224,0.0,0.08773325404375566,0.13126011023836393,0.39112448861742344,0.12153955775691538,0.40558763732178726,-0.009720552481448763,0.014463148704363604,24.541801486100542,3.9307028221252587,24.548372259835414,3.8164635163046303,-0.006570773734873069,0.11423930582062844
0.18,0.01552582277040171,17.517806212620467,2.881435075709378,0.0,0.08551688472007474,0.14563995878585256,0.3872220487288196,0.1364995897303139,0.399772141406823,-0.0091403690555385,0.012550092678003555,24.463981571718126,3.906491349598046,24.470880239122277,3.7962212823445642,-0.006898667404151737,0.1102700672534819
0.19999999999999998,0.013817533713231722,17.455371978688824,3.1499064455931283,0.0,0.08355486967075526,0.16002132298844085,0.38312783619724433,0.1513780370979241,0.39390827435768505,-0.008643285890516772,0.01078043816044083,24.37866017203256,3.8808439862152855,24.385969856545866,3.7741695023702357,-0.007309684513306437,0.1066744838450499
0.22,0.012298091019665284,17.387485207270572,3.4206287627418153,0.0,0.08182173157063073,0.17439633637176755,0.37886096241784983,0.16616608042848796,0.38799912031953215,-0.00823025594327964,0.009138157901682487,24.285723236712958,3.853949991357749,24.29348821756131,3.7505030794249947,-0.007764980848351938,0.10344691193275408
0.24,0.010969899496001032,17.314148607919513,3.6917835685805933,0.0,0.08030164802704601,0.18875712156774904,0.374438894943534,0.18085497722157057,0.3820477588327436,-0.007902144346178641,0.007608863889209783,24.18518402939528,3.8257492728256537,24.193398250461783,3.725220485458631,-0.008214221066502554,0.10052878736702282
0.26,0.009841199047528473,17.235277832118545,3.96670996779106,0.0,0.07898404587862012,0.20309558455755328,0.36987818351290835,0.1954360693002277,0.37605726311393883,-0.007659515257325555,0.00617907960103059,24.07689847032561,3.796388277068916,24.08566429189414,3.698407986496406,-0.00876582156853116,0.09798029057251038
0.28,0.008926766173332984,17.150960722907694,4.238168935690757,0.0,0.07786674961351646,0.21740357987934322,0.3651938295114667,0.20990079011868423,0.370030698345817,-0.007502789760659212,0.004836868834350305,23.961016927886114,3.7657104534204464,23.9703660249881,3.6699751740813156,-0.00934909710198535,0.09573527933913079
0.30000000000000004,0.00824572672882682,17.061246300916217,4.507018634372155,0.0,0.07695040156423195,0.231672813249173,0.36039966573418125,0.2242406719776791,0.36397111997678994,-0.00743214127149372,0.0035714542426088514,23.837593603614614,3.7338159930513695,23.847530347015763,3.640053789511174,-0.009936743401149794,0.09376220354019511
0.32,0.007816200005486336,16.96621096457802,4.7717945413402605,0.0,0.07624086074610169,0.24589471673578034,0.35550886092350176,0.23844735314023052,0.35788157203137927,-0.00744736359554965,0.002372711107877734,23.706715450253984,3.700847409692008,23.717254158234873,3.6087022657668695,-0.010538707980888153,0.09214514392513834
0.34,0.007613393558128227,16.816511076621005,7.485210478331993,0.0,0.07574603835104372,0.26003574690322706,0.35059641351446613,0.2525125848406812,0.3517650854323356,-0.007523162062545996,0.0011686719178696237,23.497788279943144,3.666610905345769,23.509009240373068,3.5758513710728783,-0.011220960429924931,0.09075953427289078
0.36000000000000004,0.007662952491256082,16.681471471804596,6.816044657433676,0.0,0.07566987459565608,0.2740911830302428,0.3456354978577312,0.26642823817999745,0.3456246763354367,-0.0076629448502454345,-1.082152229425759e-05,23.313131626262603,3.6112151287088374,23.325155543977278,3.5212611378711043,-0.012023917714673994,0.08995399083773321
0.38,0.007947277827580677,16.541379336524123,7.029326876266088,0.0,0.075645821722033,0.2880465916327086,0.3406360386743268,0.2801863109004165,0.33946334447790827,-0.007860280732292058,-0.0011726941964185222,23.119879952349578,3.5644931895738736,23.13262944349482,3.475322373860781,-0.0127494911452419,0.08917081571309288
0.4,0.008431157362048686,16.399411214985168,7.432110132419398,0.0,0.07579593131390092,0.3019309902693528,0.33543544170423667,0.293778934032666,0.3332840715414047,-0.0081520562366868,-0.002151370162831956,22.930818637562016,3.4725974439317207,22.944353112850226,3.383952250472386,-0.0135344752882092,0.08864519345933486
0.42000000000000004,0.009032962000968902,16.22877981892183,8.533928356227246,0.0,0.0755287705716997,0.3157010057363019,0.3301393655697926,0.3071983784091139,0.3270898195304771,-0.008502627327187984,-0.0030495460393153984,22.6913838290149,3.44204717376301,22.705725169961998,3.3542162452667847,-0.014341340947098238,0.08783092849622498
0.44,0.009705956303969698,16.084189543658383,7.281426841291743,0.0,0.07569973074731928,0.32935125823032374,0.3247231484404387,0.32043706103635083,0.32088352916744667,-0.008914197193973017,-0.0038396192729921452,22.49286726909397,3.387215459279261,22.50815543987825,3.2996286640123826,-0.015288170784280148,0.08758679526687853
0.46,0.010420996268688754,15.937053212627733,7.363234991907075,0.0,0.0758617032602964,0.3428614726562982,0.31922078368093887,0.3334875513208576,0.3146681183045908,-0.00937392133544046,-0.004552665376348131,22.288392129493655,3.3476718008462427,22.304682448442808,3.2604089678732113,-0.016290318949153258,0.08726283297303161
0.48000000000000004,0.011158636187636205,15.79829238140458,6.957142828388374,0.0,0.07616323033757705,0.3562206784658377,0.31363668996450533,0.3463425771415634,0.3084464803545383,-0.009878101324274358,-0.005190209609966967,22.09648167398094,3.304176443248234,22.113852105467014,3.217351932482992,-0.01737043148607667,0.08682451076524202
0.5,0.011909595709887243,15.661326833427344,6.857563668848849,0.0,0.07650819399488694,0.36941516369652083,0.30798857036058624,0.3589950307632678,0.3022214827397593,-0.010420132933253168,-0.005767087620827116,21.906396640985427,3.265593755304706,21.924805952724196,3.178981356323391,-0.01840931173876971,0.08661239898131466
0.52,0.012668067341782089,15.528046491467661,6.675364481497723,0.0,0.07691561545993297,0.38243422836867724,0.302285824891642,0.371437974585066,0.295995965362023,-0.010996253783611465,-0.006289859529618802,21.721582635240203,3.226965060671346,21.741240788455944,3.1405150391367043,-0.019658153215740458,0.08645002153464161
0.54,0.01343194870175051,15.396748351637685,6.573250329276657,0.0,0.07735851017623777,0.39526712928063645,0.2965402825400778,0.3836646467180935,0.28977273909268486,-0.011602482562542704,-0.006767543447392832,21.539283032014822,3.1904554649883323,21.56004501050603,3.103951255835673,-0.020761978491207332,0.08650420915265941
0.56,0.014209600675483,15.2683759491599,6.418683480025508,0.0,0.07783441906554846,0.4078966385887224,0.2907923018781915,0.3956684663870874,0.2835545842846511,-0.012228172201635079,-0.007237717593540527,21.359814126125727,3.1630600290112767,21.38173640882933,3.076654182284442,-0.02192228270360168,0.08640584672683466
0.5800000000000001,0.015012682534865068,15.148225674388895,6.007769638463125,0.0,0.07837715211734504,0.42030667129204335,0.2850842496310415,0.40744303915045005,0.27734424930685475,-0.01286363214159314,-0.00774000032418698,21.191500062224225,3.139714521605509,21.214347943570537,3.0532732179049846,-0.022847881346310762,0.08644130370052452
0.6,0.01581374321884573,15.031906967494612,5.924149678654997,0.0,0.0789924897562562,0.43251567950970005,0.2793248144124605,0.41898216193369275,0.27114444910206675,-0.013533517576007181,-0.008180365310393789,21.033407775037187,3.084187336695256,21.05711865440823,2.99771178325553,-0.023710879371045674,0.08647555343972615
0.62,0.01667943015865781,14.903214573501042,6.663879645209519,0.0,0.07950087015445231,0.4444596565815795,0.2737405654127434,0.4302798278713369,0.2649578637688458,-0.014179828710242592,-0.008782701643897717,20.846198430005458,3.106061857797702,20.87077274856878,3.019746243922153,-0.024574318563322074,0.08631561387554897
0.64,0.01744999138115297,14.801921462435175,7.098681976541011,0.0,0.08033935514221015,0.45627008434168115,0.26780395367501564,0.44133023095255064,0.25878713716842117,-0.014939853389130509,-0.009016816506594694,20.724710485666332,2.9462065856809905,20.750219887396053,2.8595188128198443,-0.025509401729722582,0.08668777286114594
