t,error_norm,torque_rms,torque_smoothness,safety_violation,q1,q2,qd1,qd2,error1,error2,tau1,tau2,supervisor_tau1,supervisor_tau2,residual_tau1,residual_tau2
0.02,0.042756403906598135,18.23248118635906,911.624059317953,0.0,-0.013285854273791475,0.4764884248655119,0.01528847159687587,0.44468248240091773,0.028574325870667217,-0.03180594246459423,25.58074007617626,3.2361207605687348,25.58074007617626,3.2361207605687348,0.0,0.0
0.04,0.040198163075016086,18.019609130825632,46.77120447339658,0.0,0.003147036271407444,0.468685762459657,0.030567774339877347,0.439291963140992,0.02742073806847012,-0.029393799318664815,25.089473358429313,4.464409597263085,25.089473358429313,4.464409597263085,0.0,0.0
0.06,0.03787523931634505,18.023052596750198,7.605303891110877,0.0,0.019528603545719836,0.46108652209131007,0.045828747197790204,0.4338315005879084,0.02630014365207023,-0.027255021503401533,25.13105277414884,4.253355883698648,25.13105277414884,4.253355883698648,0.0,0.0
0.08,0.03570960145791811,17.987246430157292,2.2693220862799506,0.0,0.03587438726604075,0.45361715260454627,0.06106224477682705,0.42830416245522424,0.025187857510786227,-0.02531299014932209,25.087670491902955,4.206050114788708,25.087670491902955,4.206050114788708,0.0,0.0
0.1,0.03367891524967628,17.941643076043842,2.414576238046983,0.0,0.05218390544663176,0.44626407852774497,0.0762591451196154,0.42271302404852323,0.02407523967298353,-0.0235510544792219,25.02776582296027,4.173254179578073,25.02776582296027,4.173254179578073,0.0,0.0
0.12000000000000001,0.03176624716403797,17.88930878297939,2.7186407698946993,0.0,0.0684549151927123,0.43901890155630063,0.09141035748053888,0.41706116651242575,0.022955442287826422,-0.021957735043875104,24.958179006706043,4.140535971922588,24.958179006706043,4.140535971922588,0.0,0.0
0.13999999999999999,0.029956407939323127,17.83060922492398,3.02254248333306,0.0,0.08468452842366503,0.4318741877789658,0.10650683006958868,0.41135167507945797,0.02182230164592358,-0.02052251269950789,24.87961440005281,4.106828212693219,24.87961440005281,4.106828212693219,0.0,0.0
0.16,0.028235676605779407,17.765708957082467,3.322317083084167,0.0,0.10086936838406668,0.4248229357254183,0.12153955775691538,0.40558763732178726,0.020670189372848924,-0.019235298403630807,24.792325272819625,4.072031073337931,24.792325272819625,4.072031073337931,0.0,0.0
0.18,0.026592187982104422,17.69476880968659,3.6155778121211553,0.0,0.1170055403054251,0.41785878008557065,0.1364995897303139,0.399772141406823,0.01949404942488897,-0.01808663867874749,24.69652568744942,4.036248930091627,24.69652568744942,4.036248930091627,0.0,0.0
0.19999999999999998,0.0250161456798076,17.617970618374947,3.90127933250676,0.0,0.1330886608826094,0.4109759708140919,0.1513780370979241,0.39390827435768505,0.01828937621531468,-0.01706769645640671,24.592468845902253,3.999531657978581,24.592468845902253,3.999531657978581,0.0,0.0
0.22,0.02350005229879527,17.535504205668676,4.1786995161485,0.0,0.1491138952577371,0.4041693225121006,0.16616608042848796,0.38799912031953215,0.0170521851707508,-0.01617020219256826,24.480420174613894,3.961924225474874,24.480420174613894,3.961924225474874,0.0,0.0
0.24,0.022039072236854522,17.4475145070817,4.449710970260272,0.0,0.16507596730038498,0.397434231819378,0.18085497722157057,0.3820477588327436,0.015779009921185416,-0.015386472986634203,24.360580163894287,3.9234753762618184,24.360580163894287,3.9234753762618184,0.0,0.0
0.26,0.02063215432238127,17.35356945576883,4.742155399094191,0.0,0.18096889806620808,0.3907673531363729,0.1954360693002277,0.37605726311393883,0.014467171234019638,-0.014710090022433953,24.232325502490223,3.884217611533609,24.232325502490223,3.884217611533609,0.0,0.0
0.28,0.01928208372283818,17.253650889811574,5.03708121466618,0.0,0.1967861534783082,0.38416594006590987,0.20990079011868423,0.370030698345817,0.01311463664037582,-0.01413524172009284,24.09566189944919,3.8439583351571343,24.09566189944919,3.8439583351571343,0.0,0.0
0.30000000000000004,0.01799603146935731,17.14790335584385,5.3255502623583,0.0,0.21252071365743408,0.3776276102146885,0.2242406719776791,0.36397111997678994,0.011719958320245194,-0.013656490237898389,23.950800586307096,3.802674095642862,23.950800586307096,3.802674095642862,0.0,0.0
0.32,0.0167864491292818,17.036478306087627,5.606841531229512,0.0,0.2281650869834757,0.3711503277021877,0.23844735314023052,0.35788157203137927,0.010282266156754982,-0.013268755670808652,23.797952901427,3.7604020860874763,23.797952901427,3.7604020860874763,0.0,0.0
0.34,0.0156720246872689,16.91954381732489,5.880077269316754,0.0,0.24371133100429754,0.36473236304584855,0.2525125848406812,0.3517650854323356,0.008801253836383527,-0.012967277613512795,23.637354128881995,3.7171784674103403,23.637354128881995,3.7171784674103403,0.0,0.0
0.36000000000000004,0.014678487671251425,16.797284602720072,6.144360892013079,0.0,0.2591510729338542,0.3583722590982745,0.26642823817999745,0.3456246763354367,0.007277165246143191,-0.01274758276283805,23.469262307492258,3.673045982788233,23.469262307492258,3.673045982788233,0.0,0.0
0.38,0.013838731044390614,16.66990324367704,6.398750873718489,0.0,0.27447553107110734,0.3520687984824309,0.2801863109004165,0.33946334447790827,0.0057107798293092316,-0.01260545400452262,23.293960143742606,3.6280530769049655,23.293960143742606,3.6280530769049655,0.0,0.0
0.4,0.0131913518691428,16.537621262849022,6.642260289473654,0.0,0.2896755371859472,0.34582097301082193,0.293778934032666,0.3332840715414047,0.004103396846718788,-0.012536901469417217,23.111756489292404,3.5822543246568275,23.111756489292404,3.5822543246568275,0.0,0.0
0.42000000000000004,0.01277657193870712,16.40068023046476,6.873853872365569,0.0,0.304741560146657,0.3396279547399179,0.3071983784091139,0.3270898195304771,0.002456818262456917,-0.012538135209440693,22.92298789746692,3.5357106635725026,22.92298789746692,3.5357106635725026,0.0,0.0
0.44,0.012613550135069405,16.258891053660623,7.128988549362806,0.0,0.31966753966652206,0.3334735841264722,0.32043706103635083,0.32088352916744667,0.0007695213698286629,-0.012590054959025654,22.728020138391873,3.4842757035665812,22.728020138391873,3.4842757035665812,0.0,0.0
0.46,0.01265121469044507,16.109931649740094,7.564656029762068,0.0,0.33446162753977937,0.3272817779108852,0.3334875513208576,0.3146681183045908,-0.000974076218921649,-0.012613659606294458,22.525408906190755,3.4155159386976033,22.525408906190755,3.4155159386976033,0.0,0.0
0.48000000000000004,0.01312424502334062,15.922443560954063,9.48550421393287,0.0,0.34904668570677266,0.32128912822404887,0.3463425771415634,0.3084464803545383,-0.0027041085652093066,-0.012842647869510504,22.257118775584214,3.4160037636208367,22.257118775584214,3.4160037636208367,0.0,0.0
0.5,0.013541894801842225,15.707744386746315,12.135961108559743,0.0,0.3635301527849797,0.314981403706299,0.3589950307632678,0.3022214827397593,-0.004535122021712024,-0.012759920966539884,21.98056385203649,3.2126749267966126,21.98056385203649,3.2126749267966126,0.0,0.0
0.52,0.014764442738369467,15.495719139757432,13.78653359648204,0.0,0.37762823108742616,0.30940005032928486,0.371437974585066,0.295995965362023,-0.0061902565023599365,-0.013404084967262087,21.64667480441862,3.4141021115715935,21.64667480441862,3.4141021115715935,0.0,0.0
0.54,0.015122669165948874,15.29784553031333,22.074841587587784,0.0,0.3918389300790488,0.30249579746076405,0.3836646467180935,0.28977273909268486,-0.008174283360955492,-0.012723058368079077,21.449627088925315,2.8216402117733486,21.449627088925315,2.8216402117733486,0.0,0.0
0.56,0.01688351530197836,15.067745296513088,30.076367106250018,0.0,0.4053517402698428,0.29738524933965405,0.3956684663870874,0.2835545842846511,-0.009683273882755472,-0.013830665055003077,21.01111946691777,3.5505992998497797,21.01111946691777,3.5505992998497797,0.0,0.0
0.5800000000000001,0.01728156926821634,14.919591383987452,38.26952451860527,0.0,0.4191757988921605,0.2900326292355717,0.40744303915045005,0.27734424930685475,-0.011732759741710286,-0.012688379928716742,20.954455473407958,2.4696578595563548,20.954455473407958,2.4696578595563548,0.0,0.0
0.6,0.019266052944378196,14.67400652098859,45.16219265943776,0.0,0.43205851318041244,0.2852932947838882,0.41898216193369275,0.27114444910206675,-0.013076351246719575,-0.01414884568182151,20.431339363676457,3.6350112190082937,20.431339363676457,3.6350112190082937,0.0,0.0
0.62,0.019937029189306826,14.575382478191784,46.774186829370144,0.0,0.445283252118569,0.27808731134872655,0.4302798278713369,0.2649578637688458,-0.015003424247232111,-0.013129447579880882,20.482515762730028,2.313027626440304,20.482515762730028,2.313027626440304,0.0,0.0
0.64,0.021921285804548038,14.336654309636115,47.42632019074179,0.0,0.4575243482553475,0.2735618905033479,0.44133023095255064,0.25878713716842117,-0.01619411730279685,-0.014774753334926949,19.96200130307269,3.549340440721317,19.96200130307269,3.549340440721317,0.0,0.0
0.66,0.022675341174610984,14.251396350546038,48.16838889718444,0.0,0.4701187346654483,0.26643691542680203,0.45212777046601504,0.2526348755572857,-0.017990964199433357,-0.013802039869516225,20.03530101553988,2.1889059133321638,20.03530101553988,2.1889059133321638,0.0,0.0
