t,error_norm,torque_rms,torque_smoothness,safety_violation,residual_gate,q1,q2,qd1,qd2,error1,error2,tau1,tau2,supervisor_tau1,supervisor_tau2,residual_tau1,residual_tau2
0.02,0.022697256455564762,21.278420849383345,1063.9210424691673,0.0,1.0,0.0038323812876814856,0.46427644691648373,0.01528847159687587,0.44468248240091773,0.011456090309194256,-0.019593964515566054,30.07168014120514,-1.1119537634237284,0.0,0.0,30.07168014120514,-1.1119537634237284
0.04,0.0567163545964244,16.73852560526273,852.5317346116782,0.0,1.0,0.009971746731767706,0.49213653263941204,0.030567774339877347,0.439291963140992,0.020596027608109857,-0.05284456949841987,15.371367683923898,18.002153604546653,0.0,0.0,15.371367683923898,18.002153604546653
0.06,0.007774596406656219,28.027617599611045,1468.530688386944,0.0,1.0,0.03810259751610712,0.4346980802914686,0.045828747197790204,0.4338315005879084,0.007726149681682948,-0.0008665797035600775,35.0,-18.60362052451225,0.0,0.0,35.0,-18.60362052451225
0.08,0.06414222214543101,24.05847545375598,2011.7652306347704,0.0,1.0,0.037335718394561734,0.48789675098421403,0.06106224477682705,0.42830416245522424,0.023726526382265245,-0.059592588528989854,10.01197412962085,32.51739313576291,0.0,0.0,10.01197412962085,32.51739313576291
0.1,0.01103616757136087,32.81465467901225,2395.879226004349,0.0,1.0,0.06865245734968495,0.4147170690815445,0.0762591451196154,0.42271302404852323,0.007606687769930343,0.00799595496697858,35.0,-30.47299006342569,0.0,0.0,35.0,-30.47299006342569
0.12000000000000001,0.052388314199734325,25.360421606654523,2506.228586493545,0.0,1.0,0.06790858748504247,0.4638821262609065,0.09141035748053888,0.41706116651242575,0.023501769995496247,-0.046820959748480995,7.829557339629039,35.0,0.0,0.0,7.829557339629039,35.0
0.13999999999999999,0.020281710546782156,31.72280656988415,2427.8312453572644,0.0,1.0,0.09778399658144465,0.39304156970997495,0.10650683006958868,0.41135167507945797,0.008722833488143955,0.018310105369482965,35.0,-28.065511100647534,0.0,0.0,35.0,-28.065511100647534
0.16,0.04786561634104739,25.504992263518563,2415.570564178242,0.0,1.0,0.09537173485101613,0.4456670868199262,0.12153955775691538,0.40558763732178726,0.02616782290589903,-0.040079449498138686,8.718329009866704,35.0,0.0,0.0,8.718329009866704,35.0
0.18,0.02975336527518684,32.296226332259835,2457.3677740332814,0.0,1.0,0.12513773348417478,0.37227357839271713,0.1364995897303139,0.399772141406823,0.01136185624613928,0.027498563014106026,35.0,-29.34437715490153,0.0,0.0,35.0,-29.34437715490153
0.19999999999999998,0.0417934481378151,25.523509310404588,2455.9302812740266,0.0,1.0,0.12221233698889877,0.42384243952724754,0.1513780370979241,0.39390827435768505,0.029165700109025305,-0.029934165169562377,8.826044132940837,35.0,0.0,0.0,8.826044132940837,35.0
0.22,0.03993956257670336,31.87004466528856,2424.942690831465,0.0,1.0,0.15115986451402286,0.35098585049981956,0.16616608042848796,0.38799912031953215,0.015006215914465049,0.03701326981971276,35.0,-28.397174048397414,0.0,0.0,35.0,-28.397174048397414
0.24,0.040318119341828454,25.633761821299593,2416.6963287490903,0.0,1.0,0.14716686556409986,0.40419864775882797,0.18085497722157057,0.3820477588327436,0.03368811165747054,-0.02215088892608419,9.443489303336627,35.0,0.0,0.0,9.443489303336627,35.0
0.26,0.05002782749330829,32.04247962405891,2429.3419409216576,0.0,1.0,0.17585503909642375,0.33002068222593284,0.1954360693002277,0.37605726311393883,0.019581030203803973,0.04603658088800611,35.0,-28.782651040452503,0.0,0.0,35.0,-28.782651040452503
0.28,0.040780575018247306,25.689417254456867,2425.445854839567,0.0,1.0,0.17128760647025487,0.38314852390310916,0.20990079011868423,0.370030698345817,0.03861318364842958,-0.013117825557292129,9.741268795550834,35.0,0.0,0.0,9.741268795550834,35.0
0.30000000000000004,0.060361655524991835,31.832773563111584,2410.0299071450027,0.0,1.0,0.19947158857863112,0.3089254846794409,0.2242406719776791,0.36397111997678994,0.024769083399048153,0.05504563529734918,35.0,-28.3134410738199,0.0,0.0,35.0,-28.3134410738199
0.32,0.0445912052119985,25.782137804822145,2403.8165574103346,0.0,1.0,0.19415616725813756,0.36304552743556684,0.23844735314023052,0.35788157203137927,0.04429118588209313,-0.005163955404187348,10.219454954824077,35.0,0.0,0.0,10.219454954824077,35.0
0.34,0.07063029015724542,31.86158415549435,2405.9481212732885,0.0,1.0,0.22211316308123852,0.2880115518487907,0.2525125848406812,0.3517650854323356,0.030399421759442546,0.06375353358354507,35.0,-28.378179818221202,0.0,0.0,35.0,-28.378179818221202
0.36000000000000004,0.050233217619641175,25.843745152124022,2402.0216782971715,0.0,1.0,0.21629854081600275,0.3424013869260696,0.26642823817999745,0.3456246763354367,0.05012969736399464,0.003223289409366892,10.526078423414276,35.0,0.0,0.0,10.526078423414276,35.0
0.38,0.08087884423677413,31.731888437986395,2392.3892167697213,0.0,1.0,0.243949711829047,0.2671563853880863,0.2801863109004165,0.33946334447790827,0.03623659907136956,0.07230695908982199,35.0,-28.08603723706193,0.0,0.0,35.0,-28.08603723706193
0.4,0.05724995066434657,25.915966584536317,2387.9498799288253,0.0,1.0,0.23759196764137913,0.3223031035141988,0.293778934032666,0.3332840715414047,0.05618696639128684,0.01098096802720594,10.875414843655662,35.0,0.0,0.0,10.875414843655662,35.0
0.42000000000000004,0.0909195435823544,31.711099524546594,2386.397900794975,0.0,1.0,0.26509493875694856,0.2465065472298309,0.3071983784091139,0.3270898195304771,0.04210343965216534,0.08058327230064632,35.0,-28.039038252254628,0.0,0.0,35.0,-28.039038252254628
0.44,0.06488426457625907,25.96361877139317,2383.566384426394,0.0,1.0,0.2583366133546354,0.3020818753217731,0.32043706103635083,0.32088352916744667,0.0621004476817153,0.01880165384567345,11.100405371538436,35.0,0.0,0.0,11.100405371538436,35.0
0.46,0.10069472447455032,31.620393493988548,2376.769791457338,0.0,1.0,0.28567180187334795,0.2260505035670084,0.3334875513208576,0.3146681183045908,0.04781574944750977,0.08861761473758234,35.0,-27.83340743475988,0.0,0.0,35.0,-27.83340743475988
0.48000000000000004,0.07269606003051651,26.007208174124063,2374.237189787906,0.0,1.0,0.2785104400206282,0.28230229710917554,0.3463425771415634,0.3084464803545383,0.06783213712093517,0.02614418324536283,11.30264367413442,35.0,0.0,0.0,11.30264367413442,35.0
0.5,0.11006860038199383,31.587236540916013,2371.7431095523634,0.0,1.0,0.30577352356312026,0.20587539843221858,0.3589950307632678,0.3022214827397593,0.0532215072001474,0.09634608430754055,35.0,-27.758008296409876,0.0,0.0,35.0,-27.758008296409876
0.52,0.08038841710636326,26.0275236313643,2370.581799116405,0.0,1.0,0.2982946709750296,0.2626439827841214,0.371437974585066,0.295995965362023,0.07314330361003663,0.033351982577901396,11.39578750075896,35.0,0.0,0.0,11.39578750075896,35.0
0.54,0.11896535577363615,31.52290422513488,2365.729472878669,0.0,1.0,0.3254829064509934,0.1860054948687031,0.3836646467180935,0.28977273909268486,0.058181740267100324,0.10376724422398187,35.0,-27.611356025629256,0.0,0.0,35.0,-27.611356025629256
0.56,0.08769466883084759,26.035832264622393,2365.2571652856295,0.0,1.0,0.31769166618615285,0.24343010831579148,0.3956684663870874,0.2835545842846511,0.07797680020093445,0.040124475968859485,11.433683720617106,35.0,0.0,0.0,11.433683720617106,35.0
0.5800000000000001,0.12729047417052164,31.49366380862659,2363.0464525099082,0.0,1.0,0.344861339833924,0.1665002340186481,0.40744303915045005,0.27734424930685475,0.06258169931652624,0.11084401528820642,35.0,-27.544540660203296,0.0,0.0,35.0,-27.544540660203296
0.6,0.09449239116453804,26.021805745764986,2363.8457563298866,0.0,1.0,0.33680610619887696,0.22449782165848298,0.41898216193369275,0.27114444910206675,0.0821760557348159,0.04664662744358372,11.369641530877548,35.0,0.0,0.0,11.369641530877548,35.0
0.62,0.13498561113365587,31.451450748287943,2360.649996433985,0.0,1.0,0.3639532103068701,0.1473913080840612,0.4302798278713369,0.2649578637688458,0.06632661756446678,0.11756655568478447,35.0,-27.447905354397527,0.0,0.0,35.0,-27.447905354397527
0.64,0.10062651984438835,25.992840587155303,2362.321957391353,0.0,1.0,0.35563314186755024,0.20604526179078064,0.44133023095255064,0.25878713716842117,0.0856970890850004,0.052741875377640746,11.236348320452525,35.0,0.0,0.0,11.236348320452525,35.0
0.66,0.14199715717293285,31.433249568481617,2360.943047017577,0.0,1.0,0.38278469263327164,0.12872067055286873,0.45212777046601504,0.2526348755572857,0.0693430778327433,0.12391420500441708,35.0,-27.406173699896517,0.0,0.0,35.0,-27.406173699896517
0.68,0.10605364447192135,25.944124178570792,2363.8170839385107,0.0,1.0,0.37422066811217647,0.18798346075559058,0.4626670552397157,0.24650364624625834,0.08844638712753916,0.05852018549066784,11.008867279888662,35.0,0.0,0.0,11.008867279888662,35.0
0.7000000000000001,0.14829791753760174,31.410855124210922,2362.1209328642085,0.0,1.0,0.4013636647522705,0.11051647702268808,0.4729429076715859,0.24039597628676346,0.07157924291931561,0.12987949926407527,35.0,-27.354773610255585,0.0,0.0,35.0,-27.354773610255585
0.7200000000000001,0.11069506264033244,25.881576114991276,2365.9311211949116,0.0,1.0,0.3925441177961426,0.17043863671619608,0.48295036754714143,0.2343143511850546,0.09040624975099876,0.06387571446885865,10.710367145535855,35.0,0.0,0.0,10.710367145535855,35.0
0.74,0.15387377137372746,31.406064622280876,2365.5686408537763,0.0,1.0,0.41968195108602746,0.09280739566903318,0.49268469564047546,0.2282612136450953,0.0730027445544481,0.13545381797606204,35.0,-27.343770590717092,0.0,0.0,35.0,-27.343770590717092
0.76,0.11455730427709143,25.803960858971976,2370.4964291111123,0.0,1.0,0.4106063421748498,0.15335708268175763,0.5021413770952154,0.22223896234079082,0.09153503492036563,0.06888187965903336,10.329026673540707,35.0,0.0,0.0,10.329026673540707,35.0
0.78,0.15873112502592873,31.401087543691755,2370.1205273218843,0.0,1.0,0.43771429797744243,0.0756144602742288,0.5113161245822708,0.21624995071824807,0.07360182660482817,0.14063549044401924,35.0,-27.3323361214,0.0,0.0,35.0,-27.3323361214
0.8,0.11761928904065491,25.71662499381602,2375.95858955543,0.0,1.0,0.4283597826708845,0.1368201289182851,0.5202048812314455,0.21029648582872282,0.09184509856056078,0.07347635691043752,9.883805043864706,35.0,0.0,0.0,9.883805043864706,35.0
0.8200000000000001,0.16289062461197884,31.40926731155402,2376.5748153906857,0.0,1.0,0.4554217710846342,0.058955829361985845,0.5288038233342207,0.20438082719289363,0.0733820522495865,0.1454249978309079,35.0,-27.35112696210728,0.0,0.0,35.0,-27.35112696210728
0.8400000000000001,0.11992540362388436,25.620520445480732,2383.40379292538,0.0,1.0,0.4457713632293694,0.12079114407011415,0.5371093628152643,0.19850518569708517,0.09133799958589517,0.07771404162697104,9.371346530493499,35.0,0.0,0.0,9.371346530493499,35.0
0.86,0.16638810336672946,31.41864566134702,2384.1080000786887,0.0,1.0,0.472750967472495,0.042845183111794416,0.5451181494704624,0.1926717225220421,0.07236718199796766,0.1498265394102476,35.0,-27.372661368353647,0.0,0.0,35.0,-27.372661368353647
0.88,0.1214989345226979,25.520528094573216,2391.7380144804156,0.0,1.0,0.4627722435234327,0.10532202589226669,0.5528270729695182,0.18688254810483765,0.09005482944608545,0.08156052221257104,8.808785867064856,35.0,0.0,0.0,8.808785867064856,35.0
0.9,0.16927095007544185,31.437575835168342,2393.1539867502834,0.0,1.0,0.4896376986153128,0.027292652265029194,0.5602332646214137,0.18113972113447843,0.07059556600610062,0.1538470688694491,35.0,-27.416096527111968,0.0,0.0,35.0,-27.416096527111968
0.92,0.1224130261127429,25.418629253415016,2401.5869669083218,0.0,1.0,0.47930189291704606,0.09038480041840513,0.5673340989012822,0.17544524758174962,0.088032205984236,0.08506044716334449,8.198379488967996,35.0,0.0,0.0,8.198379488967996,35.0
0.9400000000000001,0.17159596432465363,31.457583147990412,2403.076912473342,0.0,1.0,0.5060067446372685,0.012305748878580935,0.5741271947374865,0.16980107976382167,0.06812045010021794,0.15749533088524093,35.0,-27.461956868101385,0.0,0.0,35.0,-27.461956868101385
0.9600000000000001,0.12272308758771884,25.318949661461815,2412.117841807118,0.0,1.0,0.49527476730664555,0.07601170508576871,0.5806104165579593,0.16420911544412137,0.08533564925131376,0.08819741035835271,7.556349907149266,35.0,0.0,0.0,7.556349907149266,35.0
