controller,timesteps,eval_rmse_rad,eval_return
fuzzy_sac,1200,0.37235726550245457,-752.7558115851642
fuzzy_sac,2400,0.2734795218756362,-421.3495932219089
fuzzy_sac,3600,0.2512535088466557,-394.532330615061
fuzzy_sac,4800,0.2151168210060963,-315.9203392183942
fuzzy_sac,6000,0.22678114769498925,-326.67062287217817
fuzzy_sac,7200,0.2363159748117132,-319.9888429745281
fuzzy_sac,8400,0.25498384504708915,-371.12567618025264
fuzzy_sac,9600,0.26709436566914535,-397.5671564515107
fuzzy_sac,10800,0.2415086324305206,-362.84185735214714
fuzzy_sac,12000,0.24339469396601662,-356.43667299707823
