t,error_norm,torque_rms,torque_smoothness,safety_violation,residual_gate,q1,q2,qd1,qd2,error1,error2,tau1,tau2,supervisor_tau1,supervisor_tau2,residual_tau1,residual_tau2
0.02,0.042778395972281204,18.801843577275402,940.0921788637701,0.0,1.0,-0.0014406758553984211,0.4840541319406735,0.01528847159687587,0.44468248240091773,0.016729147452274162,-0.039371649539755804,26.302602885700065,3.8976563786238674,25.83478510234435,3.367746052619839,0.4678177833557129,0.5299103260040283
0.04,0.040824900337047616,18.233972584985384,32.99129111410233,0.0,1.0,0.014116288541839328,0.4766553289230897,0.030567774339877347,0.439291963140992,0.016451485798038235,-0.037363365782097535,25.43539740984964,4.242177632185087,25.20660545771646,3.967760470243559,0.2287919521331787,0.2744171619415283
0.06,0.03824295188339867,18.121680504907264,9.618930592179575,0.0,1.0,0.02986579324338612,0.4685835864217909,0.045828747197790204,0.4338315005879084,0.015962953954403947,-0.03475208583388234,25.314051822023426,3.9986734044910994,25.150618508653675,3.9664613855244246,0.16343331336975098,0.032212018966674805
0.08,0.035262629549308644,17.935594591263158,9.359976294720017,0.0,1.0,0.04572249848439025,0.46005546520669327,0.06106224477682705,0.42830416245522424,0.015339746292436729,-0.03175130275146909,25.049617930632472,3.9859438297136958,25.01059000132644,4.147807514367932,0.03902792930603027,-0.16186368465423584
0.1,0.032030645441423214,17.789334962979893,7.3238772649629444,0.0,1.0,0.061629318035282044,0.45120741659998265,0.0762591451196154,0.42271302404852323,0.014629827084333247,-0.02849439255145958,24.8435752450991,3.9645486365154863,24.899877434926065,4.279904652674544,-0.05630218982696533,-0.3153560161590576
0.12000000000000001,0.028621423231230445,17.667382150601494,6.100783371478761,0.0,1.0,0.07755240765984617,0.4421039917234193,0.09141035748053888,0.41706116651242575,0.01385794982069255,-0.02504282521099377,24.674131984653275,3.9319200035980932,24.80445956701259,4.389743399327158,-0.13032758235931396,-0.45782339572906494
0.13999999999999999,0.02516272322170767,17.535509783468246,6.599874763925113,0.0,1.0,0.09344474854645579,0.43285852669040503,0.10650683006958868,0.41135167507945797,0.013062081523132818,-0.02150685161094712,24.488684706334357,3.9105662104057304,24.713834218625312,4.49347591366043,-0.2251495122909546,-0.5829097032546997
0.16,0.021954600480195277,17.389586252101363,7.5586145454560505,0.0,1.0,0.10921471656876403,0.42375636793049587,0.12153955775691538,0.40558763732178726,0.01232484118815158,-0.018168730608708827,24.276067861987567,3.932931374778847,24.63410759873531,4.575889181366066,-0.3580397367477417,-0.6429578065872192
0.18,0.018999453288675094,17.27882083078642,5.600036649206222,0.0,1.0,0.1248528330535481,0.4147832134598364,0.1364995897303139,0.399772141406823,0.011646756676765957,-0.015011072053013219,24.12516681380009,3.884794050030969,24.58585993475651,4.5831536586811765,-0.4606931209564209,-0.6983596086502075
0.19999999999999998,0.016368499925601396,17.173657341485054,5.2598988656549075,0.0,1.0,0.1403349288263902,0.4059903912879914,0.1513780370979241,0.39390827435768505,0.011043108271533875,-0.012082116930306253,23.97893808643239,3.8574008363831087,24.534732683104448,4.591759266291861,-0.5557945966720581,-0.7343584299087524
