controller,timesteps,eval_rmse_rad,eval_return
fuzzy_sac,1200,0.29646675429271213,-419.2922154761205
fuzzy_sac,2400,0.26029212633828597,-374.4405814320676
fuzzy_sac,3600,0.23384111172119668,-358.85613185503945
fuzzy_sac,4800,0.238130340848696,-374.86098538119813
fuzzy_sac,6000,0.29794473707859953,-452.57985718848386
fuzzy_sac,7200,0.2231649953010322,-331.37813768145236
fuzzy_sac,8400,0.23416457453891046,-337.15158746522974
fuzzy_sac,9600,0.2373080888073584,-337.4186428039402
fuzzy_sac,10800,0.22034869789959446,-315.0569982401259
fuzzy_sac,12000,0.2083272521594407,-287.18844532084773
