t,error_norm,torque_rms,torque_smoothness,safety_violation,residual_gate,q1,q2,qd1,qd2,error1,error2,tau1,tau2,supervisor_tau1,supervisor_tau2,residual_tau1,residual_tau2
0.02,0.036740619863405606,18.705553259576707,935.2776629788353,0.0,1.0,4.338373639001247e-06,0.47809308580106036,0.01528847159687587,0.44468248240091773,0.01528413322323674,-0.03341060340014268,26.36777650729755,2.1297435420559623,0.0,0.0,26.36777650729755,2.1297435420559623
0.04,0.035404793613885925,18.11022791741963,147.9523417398826,0.0,1.0,0.015347800698780834,0.4712583801001413,0.030567774339877347,0.439291963140992,0.015219973641096729,-0.031966416959149146,24.888313456586122,6.044217379320894,0.0,0.0,24.888313456586122,6.044217379320894
0.06,0.029957250874566146,18.450519598285783,109.13158132266702,0.0,1.0,0.03179743593331441,0.4602995791762967,0.045828747197790204,0.4338315005879084,0.014031311264475654,-0.026468078588388178,25.904610615529144,3.1296159111415744,0.0,0.0,25.904610615529144,3.1296159111415744
0.08,0.028338771660901086,18.10069991208416,79.96820476555506,0.0,1.0,0.04733084046211511,0.45309396912640665,0.06106224477682705,0.42830416245522424,0.01373140431471187,-0.02478980667118247,25.05883518586088,5.227375416258893,0.0,0.0,25.05883518586088,5.227375416258893
0.1,0.02446980936834336,18.263604204607162,61.19963587940969,0.0,1.0,0.06349363876893932,0.4435891687628595,0.0762591451196154,0.42271302404852323,0.01276550635067597,-0.02087614471433641,25.579798539306545,3.5766442056178294,0.0,0.0,25.579798539306545,3.5766442056178294
0.12000000000000001,0.02291622205165242,18.021627457831304,46.39257419339405,0.0,1.0,0.07909763549822646,0.4363886110022417,0.09141035748053888,0.41706116651242575,0.012312721982312258,-0.01932744448981616,25.0359249670204,4.770804282659582,0.0,0.0,25.0359249670204,4.770804282659582
0.13999999999999999,0.02005940083064818,18.07994183698949,36.584451926445375,0.0,1.0,0.09507419919803706,0.4278342268551829,0.10650683006958868,0.41135167507945797,0.011432630871551552,-0.016482551775724996,25.289786622139268,3.7676632366112095,0.0,0.0,25.289786622139268,3.7676632366112095
0.16,0.018670864488840838,17.88658766365451,28.83794649166546,0.0,1.0,0.1106818058621295,0.42077679149678726,0.12153955775691538,0.40558763732178726,0.010857751894786105,-0.015189154175000219,24.89529058224207,4.48157821809735,0.0,0.0,24.89529058224207,4.48157821809735
0.18,0.016480118937237283,17.879360962170562,23.2792150114922,0.0,1.0,0.1265114347544425,0.4128805768727153,0.1364995897303139,0.399772141406823,0.009988154975871577,-0.013108435465892132,24.99340737201014,3.8304940631629547,0.0,0.0,24.99340737201014,3.8304940631629547
0.19999999999999998,0.01526123119504255,17.707098063209074,19.322744667683068,0.0,1.0,0.14207401646302875,0.40600539705748373,0.1513780370979241,0.39390827435768505,0.009304020634895327,-0.012097122699798568,24.674171545466994,4.274096651348928,0.0,0.0,24.674171545466994,4.274096651348928
0.22,0.013515771046378773,17.656228873814594,15.89567844831716,0.0,1.0,0.15776197159146488,0.3985843468940371,0.16616608042848796,0.38799912031953215,0.008404108837023028,-0.01058522657450478,24.675048878704843,3.824499826457753,0.0,0.0,24.675048878704843,3.824499826457753
0.24,0.012446499476832061,17.491821775112864,14.128397192521327,0.0,1.0,0.17323582635984547,0.3918897042386611,0.18085497722157057,0.3820477588327436,0.007619150861724933,-0.009841945405917318,24.39364872460163,4.108230753665915,0.0,0.0,24.39364872460163,4.108230753665915
0.26,0.011013559700454072,17.410474234993973,11.842192517207243,0.0,1.0,0.18876693503404107,0.38482203039065777,0.1954360693002277,0.37605726311393883,0.006669134266186649,-0.008764767276718821,24.330350994675186,3.779318278563741,0.0,0.0,24.330350994675186,3.779318278563741
0.28,0.010088536698536387,17.247665456170935,11.365122907877845,0.0,1.0,0.2041082554390341,0.37829054790272565,0.20990079011868423,0.370030698345817,0.005792534679650352,-0.008259849556908616,24.06755360518554,3.9644407975784834,0.0,0.0,24.06755360518554,3.9644407975784834
0.30000000000000004,0.008914105330957538,17.14440804484387,9.735430035039451,0.0,1.0,0.2194544875215847,0.3714913401998716,0.2242406719776791,0.36397111997678994,0.004786184456094578,-0.00752022022308152,23.960193595776058,3.710872844648082,0.0,0.0,23.960193595776058,3.710872844648082
0.32,0.008172298994036133,16.980544285669698,9.964059952850745,0.0,1.0,0.23461787132556688,0.36510109693812254,0.23844735314023052,0.35788157203137927,0.0038294818146638043,-0.007219524906743047,23.706231844703016,3.8330588568880977,0.0,0.0,23.706231844703016,3.8330588568880977
0.34,0.007290561909231354,16.861416576871786,8.732071738857494,0.0,1.0,0.2497430282588926,0.35850910865980223,0.2525125848406812,0.3517650854323356,0.002769556581788457,-0.006744023227466478,23.56797474210259,3.6284024739859806,0.0,0.0,23.56797474210259,3.6284024739859806
0.36000000000000004,0.006840592037381919,16.695776725591024,9.283419735895615,0.0,1.0,0.2646815099003197,0.35223849820625164,0.26642823817999745,0.3456246763354367,0.0017467282796777006,-0.006613821870814718,23.31819908729106,3.709381655617588,0.0,0.0,23.31819908729106,3.709381655617588
0.38,0.0063775518443473485,16.565348785841884,8.294838499827433,0.0,1.0,0.2795444016351025,0.34580850956815157,0.2801863109004165,0.33946334447790827,0.0006419092653140446,-0.006345165090243299,23.158285014283923,3.5377105577448136,0.0,0.0,23.158285014283923,3.5377105577448136
0.4,0.006368792792884495,16.398263474254,8.949698913039807,0.0,1.0,0.2942101064910676,0.33963825220847843,0.293778934032666,0.3332840715414047,-0.00043117245840162965,-0.006354180667073717,22.910885804564195,3.5912952527360797,0.0,0.0,22.910885804564195,3.5912952527360797
0.42000000000000004,0.0064404945252754765,16.260193774444712,8.10719341231502,0.0,1.0,0.3087668539330899,0.3333364069396785,0.3071983784091139,0.3270898195304771,-0.0015684755239759873,-0.006246587409201254,22.73621325687351,3.4427329119393892,0.0,0.0,22.73621325687351,3.4427329119393892
0.44,0.006905778895734934,16.09255658293942,8.760113094056152,0.0,1.0,0.32311186086577015,0.3272502573718947,0.32043706103635083,0.32088352916744667,-0.0026747998294194275,-0.006366728204448169,22.49097193238108,3.4780650205337285,0.0,0.0,22.49097193238108,3.4780650205337285
0.46,0.0074439029710755954,15.949893401710872,8.00137627100382,0.0,1.0,0.3373176372095257,0.32105107479263095,0.3334875513208576,0.3146681183045908,-0.0038300858886679556,-0.0063829564880402145,22.306956857043822,3.3463225830552528,0.0,0.0,22.306956857043822,3.3463225830552528
0.48000000000000004,0.008242937528576763,15.782876741596336,8.610725468032886,0.0,1.0,0.3512948532242146,0.3150359401731593,0.3463425771415634,0.3084464803545383,-0.004952276082651252,-0.006589459818620913,22.064532336317193,3.369689786977162,0.0,0.0,22.064532336317193,3.369689786977162
