controller,timesteps,eval_rmse_rad,eval_return
fuzzy_td3,1200,0.5533617341359224,-1662.837014101681
fuzzy_td3,2400,0.3186000332207743,-587.4264275707624
fuzzy_td3,3600,0.27848849425818994,-422.19689402362116
fuzzy_td3,4800,0.2802720463216018,-416.252184944714
fuzzy_td3,6000,0.25471853427069485,-363.03712576901313
fuzzy_td3,7200,0.23809974080127286,-344.32435925577124
fuzzy_td3,8400,0.2419801335947952,-347.97776594847596
fuzzy_td3,9600,0.23459690139311765,-356.05408626108147
fuzzy_td3,10800,0.19662629637392168,-306.58329585753006
fuzzy_td3,12000,0.19197249177910472,-258.274331484074
