controller,timesteps,eval_rmse_rad,eval_return
ddpg_direct,1200,1.2424033814466597,-1345.79234150567
ddpg_direct,2400,1.2541140106257354,-1110.262251279911
ddpg_direct,3600,1.1148211614562458,-1018.0064225160953
ddpg_direct,4800,1.0251860070844363,-930.1418619998341
ddpg_direct,6000,0.9135248018273684,-845.615680622239
ddpg_direct,7200,0.8289059818084112,-983.2858004031973
ddpg_direct,8400,0.9379134788841191,-1470.4140561188406
ddpg_direct,9600,0.8849124003902581,-1951.6258155615376
ddpg_direct,10800,0.746678158354554,-1528.482297947074
ddpg_direct,12000,0.6052367888151976,-1062.8515172514042
