controller,timesteps,eval_rmse_rad,eval_return
fuzzy_td3,1200,0.6986441540296902,-2385.507317830357
fuzzy_td3,2400,0.2490291337768659,-374.0469552751502
fuzzy_td3,3600,0.2697245226154757,-384.264224801399
fuzzy_td3,4800,0.28451262793686133,-488.2499546026525
fuzzy_td3,6000,0.289990474422161,-480.8828076064079
fuzzy_td3,7200,0.26259264620123285,-440.72683905505596
fuzzy_td3,8400,0.29341710321912223,-525.9937545745108
fuzzy_td3,9600,0.3140591459136883,-536.9637521522164
fuzzy_td3,10800,0.2796248891417982,-468.4794880875975
fuzzy_td3,12000,0.2804719285070267,-457.3802173900065
