t,error_norm,torque_rms,torque_smoothness,safety_violation,q1,q2,qd1,qd2,error1,error2,tau1,tau2,supervisor_tau1,supervisor_tau2,residual_tau1,residual_tau2
0.02,0.05477674365309103,14.650712879080778,732.535643954039,0.0,0.06962816230878,0.4515882523486523,0.01528847159687587,0.44468248240091773,-0.054339690711904254,-0.006905769947734619,20.29565277737497,4.168123567117282,0.0,0.0,20.29565277737497,4.168123567117282
0.04,0.05366864540013763,15.223770885883209,85.09469070016868,0.0,0.08382699609998401,0.44590851787843055,0.030567774339877347,0.439291963140992,-0.053259221760106445,-0.006616554737438385,21.432175693732464,2.0465202184962084,0.0,0.0,21.432175693732464,2.0465202184962084
0.06,0.051856419918331925,15.180638885758054,64.0912903710398,0.0,0.09692098630257506,0.4427011899852804,0.045828747197790204,0.4338315005879084,-0.051092239104785,-0.008869689397371872,21.123748261608835,3.8328648997527615,0.0,0.0,21.123748261608835,3.8328648997527615
0.08,0.04994429951544543,15.621296483175522,53.89420570954639,0.0,0.11026283440282159,0.4368910731070823,0.06106224477682705,0.42830416245522424,-0.049200589625994606,-0.008586910651858126,21.94438867364554,2.548256927886423,0.0,0.0,21.94438867364554,2.548256927886423
0.1,0.04762351828430379,15.675433917201731,40.34101763441578,0.0,0.12285524757978905,0.4325518618506421,0.0762591451196154,0.42271302404852323,-0.04659610246017376,-0.009838837802119027,21.859800481822013,3.686133459337978,0.0,0.0,21.859800481822013,3.686133459337978
0.12000000000000001,0.04514996629587984,16.021094059122998,34.88589815534109,0.0,0.13556047095536128,0.426510343020428,0.09141035748053888,0.41706116651242575,-0.04415011347482256,-0.009449176508002033,22.469550885338712,2.9103595505893742,0.0,0.0,22.469550885338712,2.9103595505893742
0.13999999999999999,0.04244714529294911,16.118869087641375,26.280375878423452,0.0,0.14775484462725963,0.4213697307077169,0.10650683006958868,0.41135167507945797,-0.04124801455767102,-0.01001805562825897,22.500918554453406,3.653018688002554,0.0,0.0,22.500918554453406,3.653018688002554
0.16,0.03962242035642211,16.392893246095653,23.55733814181355,0.0,0.16000655591394786,0.41508638711783385,0.12153955775691538,0.40558763732178726,-0.03846699815703225,-0.009498749796046368,22.964666204492932,3.1745872286010925,0.0,0.0,22.964666204492932,3.1745872286010925
0.18,0.03669424377613291,16.50019302917175,17.957739881369996,0.0,0.17191363352577804,0.40938010832783345,0.1364995897303139,0.399772141406823,-0.03541404379546398,-0.009607966921010291,23.04337250649343,3.676373692490827,0.0,0.0,23.04337250649343,3.676373692490827
0.19999999999999998,0.03370431909693488,16.71471966312832,16.475283781504313,0.0,0.18386363521607896,0.4028897575700361,0.1513780370979241,0.39390827435768505,-0.03248559811815488,-0.008981483212350927,23.39640765517114,3.372212280830854,0.0,0.0,23.39640765517114,3.372212280830854
0.22,0.030707794316682746,16.81087791629427,12.72395474970298,0.0,0.19558784082863578,0.3967927911543989,0.16616608042848796,0.38799912031953215,-0.02942176040014788,-0.008793670834866596,23.481010206521855,3.7220145505246633,0.0,0.0,23.481010206521855,3.7220145505246633
0.24,0.027714970007554404,16.97219747735275,11.691342530814987,0.0,0.20735935743280898,0.39014944952899633,0.18085497722157057,0.3820477588327436,-0.026504380211238576,-0.00810169069625255,23.742802312632442,3.5199876084687634,0.0,0.0,23.742802312632442,3.5199876084687634
0.26,0.024793166928335626,17.044813632703697,9.127709060836123,0.0,0.2189905779573751,0.38379588367943285,0.1954360693002277,0.37605726311393883,-0.023554508657147366,-0.007738620565493903,23.808419825504895,3.7696802198209003,0.0,0.0,23.808419825504895,3.7696802198209003
0.28,0.021935072086481655,17.156579048695072,8.179619028480603,0.0,0.2306795748266106,0.377058464242658,0.20990079011868423,0.370030698345817,-0.020778784707926157,-0.007027765896840954,23.9904571635982,3.626895971737405,0.0,0.0,23.9904571635982,3.626895971737405
0.30000000000000004,0.019210632232993588,17.198579730528653,6.485792200012794,0.0,0.24228859780298695,0.3705529710990447,0.2242406719776791,0.36397111997678994,-0.018047925825307676,-0.006581851122254623,24.02259769707833,3.807504350493791,0.0,0.0,24.02259769707833,3.807504350493791
0.32,0.016599837162130822,17.263555434129977,5.485870308580784,0.0,0.2539647913161023,0.3637776475284591,0.23844735314023052,0.35788157203137927,-0.01551743817587159,-0.0058960754970796,24.1326461171022,3.6981189598591,0.0,0.0,24.1326461171022,3.6981189598591
0.34,0.01417308423434243,17.27148760453561,4.632849435179892,0.0,0.26560121175484097,0.35720237908043817,0.2525125848406812,0.3517650854323356,-0.013088626914159907,-0.005437293648102415,24.123609259361338,3.828843748301877,0.0,0.0,24.123609259361338,3.828843748301877
0.36000000000000004,0.011898427233062718,17.292439898357227,3.6008419026112333,0.0,0.2773092989530004,0.3504387273400176,0.26642823817999745,0.3456246763354367,-0.010881060773002993,-0.004814051004580655,24.16796573404292,3.7371630356088414,0.0,0.0,24.16796573404292,3.7371630356088414
0.38,0.009849463893680459,17.26542084165558,3.7980530057460173,0.0,0.28900113788323534,0.343857745945217,0.2801863109004165,0.33946334447790827,-0.008814826982818769,-0.0043944014673087395,24.11466941599564,3.8304350452911047,0.0,0.0,24.11466941599564,3.8304350452911047
0.4,0.00798072727101323,17.245521586703102,3.0011518206005694,0.0,0.30076244516846096,0.33714704707724774,0.293778934032666,0.3332840715414047,-0.006983511135794984,-0.0038629755358430273,24.099302455565493,3.7469521947924926,0.0,0.0,24.099302455565493,3.7469521947924926
0.42000000000000004,0.006377705403925998,17.1845443619833,4.127010127711908,0.0,0.31251697556239355,0.3306094289605692,0.3071983784091139,0.3270898195304771,-0.005318597153279647,-0.0035196094300919967,24.001900729670897,3.811284720532925,0.0,0.0,24.001900729670897,3.811284720532925
0.44,0.004978087294024417,17.12750378930611,3.758423205290075,0.0,0.3243315514619338,0.3239842222241629,0.32043706103635083,0.32088352916744667,-0.003894490425583097,-0.0031006930567163415,23.93297359015254,3.730354840822974,0.0,0.0,23.93297359015254,3.730354840822974
0.46,0.003897362579639618,17.034941009901097,5.131630800703928,0.0,0.33613697367838924,0.31752643883395537,0.3334875513208576,0.3146681183045908,-0.0026494223575315168,-0.002858320529364633,23.79392161572584,3.7719656104364176,0.0,0.0,23.79392161572584,3.7719656104364176
0.48000000000000004,0.003045783423640181,16.94499278070636,5.011990332449561,0.0,0.34798606328973136,0.31101080286633387,0.3463425771415634,0.3084464803545383,-0.0016434861481680052,-0.0025643225117955026,23.677974579220948,3.6904038399812125,0.0,0.0,23.677974579220948,3.6904038399812125
0.5,0.0025710566158133564,16.824216640936548,6.300606103040488,0.0,0.35981376020901523,0.3046586971776746,0.3589950307632678,0.3022214827397593,-0.000818729445747568,-0.002437214437915447,23.50135473203086,3.714142824607484,0.0,0.0,23.50135473203086,3.714142824607484
0.52,0.002284054484240467,16.706025524716893,6.262325725437188,0.0,0.3716625598554213,0.29826895157916544,0.371437974585066,0.295995965362023,-0.00022458527035507103,-0.0022729862171422255,23.3453019238442,3.6303520145491244,0.0,0.0,23.3453019238442,3.6303520145491244
0.54,0.0022750989560818215,16.561101051740028,7.397237142878693,0.0,0.3834697186775031,0.2920394720542303,0.3836646467180935,0.28977273909268486,0.00019492804059062507,-0.002266732961545337,23.136309931102787,3.64023335293824,0.0,0.0,23.136309931102787,3.64023335293824
0.56,0.0022657874530359477,16.41963389056623,7.34915061132799,0.0,0.3952702968048549,0.28578511197246836,0.3956684663870874,0.2835545842846511,0.0003981695822323772,-0.0022305276878173963,22.947339426269156,3.5536414360561834,0.0,0.0,22.947339426269156,3.5536414360561834
0.5800000000000001,0.0023846387018357637,16.255062763547706,8.324936834880294,0.0,0.40700272471316135,0.2796878842900825,0.40744303915045005,0.27734424930685475,0.000440314437288869,-0.0023436349832275383,22.71187517281849,3.553147481890022,0.0,0.0,22.71187517281849,3.553147481890022
0.6,0.0024448674835015447,16.09544660436699,8.217239026849915,0.0,0.4186969971787864,0.2735726290942506,0.41898216193369275,0.27114444910206675,0.0002851647549064751,-0.002428179992183921,22.497303920818133,3.463830117427633,0.0,0.0,22.497303920818133,3.463830117427633
0.62,0.002653565864992236,15.915949526314215,9.043364883868373,0.0,0.43029198942568714,0.2676114017648894,0.4302798278713369,0.2649578637688458,-1.2161554350242909e-05,-0.002653537996043731,22.24163625932506,3.4560837889495986,0.0,0.0,22.24163625932506,3.4560837889495986
0.64,0.002888057429429048,15.743331197254118,8.847551144598514,0.0,0.4418146474271092,0.2616342789623709,0.44133023095255064,0.25878713716842117,-0.00048441647455854664,-0.002847141793949959,22.008750282392946,3.3645007623922485,0.0,0.0,22.008750282392946,3.3645007623922485
0.66,0.0033508456588221464,15.553662368903193,9.53833794500787,0.0,0.4532037928035666,0.2558082558619983,0.45212777046601504,0.2526348755572857,-0.001076022337551663,-0.003173380304712481,21.73923855509486,3.352362333690621,0.0,0.0,21.73923855509486,3.352362333690621
0.68,0.003909466415732088,15.373078172721033,9.237917079556192,0.0,0.46448509599362087,0.24996466567308584,0.4626670552397157,0.24650364624625834,-0.0018180407539052368,-0.0034610194268274164,21.495136732679622,3.259165821585478,0.0,0.0,21.495136732679622,3.259165821585478
0.7000000000000001,0.004695718090090011,15.177868300659458,9.810577478475215,0.0,0.4755969280253103,0.24426972696841753,0.4729429076715859,0.24039597628676346,-0.0026540203537241958,-0.0038737506816541867,21.21799896578685,3.2452876902047745,0.0,0.0,21.21799896578685,3.2452876902047745
0.7200000000000001,0.005570380979843114,14.994129138259543,9.396314447460183,0.0,0.4865652916253058,0.23855244841962886,0.48295036754714143,0.2343143511850546,-0.0036149240781644387,-0.004238097234574134,20.96945156723191,3.151177271929162,0.0,0.0,20.96945156723191,3.151177271929162
0.74,0.006621621642631285,14.797754846958926,9.870778098729334,0.0,0.4973277150511115,0.23298225631918967,0.49268469564047546,0.2282612136450953,-0.00464301941063594,-0.0047210426740944555,20.69057318987916,3.138037299913187,0.0,0.0,20.69057318987916,3.138037299913187
0.76,0.007730143255892153,14.615349981990143,9.337851343030575,0.0,0.5079120366141301,0.22738236622084695,0.5021413770952154,0.22223896234079082,-0.005770659518914645,-0.005143403880055963,20.443901984484185,3.043646142527442,0.0,0.0,20.443901984484185,3.043646142527442
0.78,0.008966400277675039,14.421828129288471,9.737049684350808,0.0,0.5182544780606504,0.22192935077006215,0.5113161245822708,0.21624995071824807,-0.0069383534783797884,-0.00567940005181411,20.16868091997966,3.0335726675853345,0.0,0.0,20.16868091997966,3.0335726675853345
0.8,0.010229357798939766,14.244849406721146,9.083080631657047,0.0,0.5283861660391698,0.216437034653838,0.5202048812314455,0.21029648582872282,-0.00818128480772451,-0.006140548825115388,19.929664963817082,2.939374707370503,0.0,0.0,19.929664963817082,2.939374707370503
0.8200000000000001,0.011581228000387292,14.057754958531588,9.433453665770813,0.0,0.5382414153449675,0.21109325589163186,0.5288038233342207,0.20438082719289363,-0.009437592010746787,-0.006712428698738115,19.6628898302749,2.9345719399446897,0.0,0.0,19.6628898302749,2.9345719399446897
0.8400000000000001,0.012931976371282695,13.889842286489802,8.65699389070579,0.0,0.5478560971568704,0.20569849605173784,0.5371093628152643,0.19850518569708517,-0.010746734341606334,-0.007193310354652649,19.43669922361793,2.8408028403482586,0.0,0.0,19.43669922361793,2.8408028403482586
0.86,0.014340535136378079,13.71224827311665,8.98926168012146,0.0,0.5571618214417171,0.20045638137432986,0.5451181494704624,0.1926717225220421,-0.012043671971254888,-0.007784658852287851,19.182457598168554,2.8433828271350596,0.0,0.0,19.182457598168554,2.8433828271350596
0.88,0.015722506366791927,13.556556404201745,8.088638394604088,0.0,0.566200722875156,0.19514951215793763,0.5528270729695182,0.18688254810483765,-0.01337364990563783,-0.008266964053099901,18.973616254923087,2.7499689619203087,0.0,0.0,18.973616254923087,2.7499689619203087
0.9,0.0171371089855959,13.39099417022039,8.438953458191945,0.0,0.5749006490778248,0.1900024711361441,0.5602332646214137,0.18113972113447843,-0.014667384456410915,-0.008862750001665809,18.73522975166688,2.7619949105690234,0.0,0.0,18.73522975166688,2.7619949105690234
0.92,0.018501860886673414,13.250180201002339,7.411667266040696,0.0,0.5833116493401516,0.18477459580352784,0.5673340989012822,0.17544524758174962,-0.015977550438869503,-0.009329348221778222,18.547607333031916,2.668485139124718,0.0,0.0,18.547607333031916,2.668485139124718
0.9400000000000001,0.01987918628322475,13.098617752265046,7.823210671652661,0.0,0.5913564224630168,0.1797175186036961,0.5741271947374865,0.16980107976382167,-0.01722922772553037,-0.009916438839874253,18.327589774704048,2.692030291447252,0.0,0.0,18.327589774704048,2.692030291447252
0.9600000000000001,0.0211855964238996,12.974848276303538,6.666599105158672,0.0,0.5990947997913452,0.1745607854696618,0.5806104165579593,0.16420911544412137,-0.01848438323338586,-0.010351670025540383,18.16442233173115,2.597525156894638,0.0,0.0,18.16442233173115,2.597525156894638
0.98,0.02248935858306659,12.838684082085676,7.191319632298416,0.0,0.60644253343174,0.1695904351853348,0.5867818750951103,0.15867119696794674,-0.019660658336629666,-0.010919238217387939,17.964456658958436,2.634751386298928,0.0,0.0,17.964456658958436,2.634751386298928
1.0,0.023703294431386253,12.733660591372455,5.906320318929368,0.0,0.6134714248773507,0.16449817328756966,0.5926399279488664,0.15318911043428537,-0.020831496928484405,-0.011309062853284146,17.82839518391296,2.5378237288616026,0.0,0.0,17.82839518391296,2.5378237288616026
1.02,0.024904140354821865,12.613729762192289,6.605225436041382,0.0,0.6200879677931592,0.15961348673119247,0.5981831799076599,0.147764584904274,-0.02190478788549921,-0.011848901826918556,17.649324005677368,2.591084554747607,0.0,0.0,17.649324005677368,2.591084554747607
1.04,0.025998226501313944,12.528730714126127,5.2071113867258525,0.0,0.6263785736143568,0.15458020277868378,0.6034104830274423,0.14239929164671528,-0.022968090586914514,-0.012180911131968397,17.54251002378381,2.4896844538252783,0.0,0.0,17.54251002378381,2.4896844538252783
1.06,0.027073605618097192,12.425320069468302,6.144094132497906,0.0,0.632237521152049,0.1497825184746273,0.608320936469052,0.1370948434210446,-0.023916584682996955,-0.012687675053582481,17.38433388905463,2.561658230781424,0.0,0.0,17.38433388905463,2.561658230781424
1.08,0.02802692595669865,12.361258033838237,4.684888682067223,0.0,0.6377690894290327,0.1448037569199272,0.6129138860945225,0.1318527937981196,-0.02485520333451019,-0.012950963121807657,17.308501448982963,2.452993670765446,0.0,0.0,17.308501448982963,2.452993670765446
1.1,0.028960855637407235,12.274126173524262,5.904230485547379,0.0,0.6428515719424035,0.14009699289796673,0.6171889238231698,0.12667463651918037,-0.025662648119233467,-0.013422356378786304,17.170377950564866,2.546854468151361,0.0,0.0,17.170377950564866,2.546854468151361
1.12,0.029758533717591552,12.231618613938688,4.498822840064397,0.0,0.6476112033801749,0.1351690582755678,0.6211458867485529,0.12156180489330815,-0.026465316631622215,-0.013607253382259543,17.12698186187056,2.4272371406312057,0.0,0.0,17.12698186187056,2.4272371406312057
1.1400000000000001,0.030541250152571697,12.160016519027494,5.985035011100998,0.0,0.6519054864338449,0.13055986457862856,0.6247848560176513,0.11651567123368345,-0.027120630416193503,-0.01404419334494511,17.00721720551413,2.546873850528753,0.0,0.0,17.00721720551413,2.546873850528753
1.1600000000000001,0.03117389874749353,12.139468829133635,4.797680030805107,0.0,0.6558878063091536,0.12567939345360823,0.628106155473858,0.1115375463329274,-0.02778165083529549,-0.014141847120680673,16.99758784074012,2.411517054332781,0.0,0.0,16.99758784074012,2.411517054332781
1.18,0.03180141426183917,12.08215479030786,6.46162556624565,0.0,0.6593887442983588,0.12117729982895886,0.6311103500656274,0.1066286789777803,-0.028278394232731152,-0.014548620851178473,16.893608741844332,2.561818188591666,0.0,0.0,16.893608741844332,2.561818188591666
1.2,0.032264466872517786,12.083853226274483,5.632302816283399,0.0,0.6625955143310804,0.11634061788248262,0.6337982440228754,0.1017902555033538,-0.028797270308205114,-0.014550362379128767,16.919132883917214,2.40457065702791,0.0,0.0,16.919132883917214,2.40457065702791
1.22,0.03273808138156685,12.03908840177752,7.371711939129345,0.0,0.6653039304303379,0.11195816672555114,0.6361708788034589,0.09702339938716598,-0.02913305162687907,-0.014934767338385058,16.82741177719313,2.5918163461962083,0.0,0.0,16.82741177719313,2.5918163461962083
1.24,0.03303102992310747,12.063294729924882,6.969224653330276,0.0,0.6677437938660802,0.10716012547732667,0.6382295308123191,0.09232917088314652,-0.029514263053760814,-0.014830954594180046,16.889732360651195,2.4048077402650487,0.0,0.0,16.889732360651195,2.4048077402650487
1.26,0.03335691850083361,12.028770400696308,8.742451103176089,0.0,0.669665992845228,0.10291287696922291,0.6399757088960978,0.08770856669577537,-0.029690283949130425,-0.015204310273447597,16.805570141477826,2.637318131209096,0.0,0.0,16.805570141477826,2.637318131209096
1.28,0.033482495908729454,12.07578772756613,8.783412922372246,0.0,0.6713550834114264,0.0981437906995084,0.6414111516162794,0.08316251969449459,-0.029943931795147094,-0.014981271005013674,16.906776774868753,2.4104351406399678,0.0,0.0,16.906776774868753,2.4104351406399678
1.3,0.03367184002923675,12.04827908455673,10.65630257348566,0.0,0.6725031516797695,0.09405002245450422,0.6425378243041417,0.07869189866850859,-0.029965327375627737,-0.015358123785995659,16.8235375564623,2.7001188649829557,0.0,0.0,16.8235375564623,2.7001188649829557
1.32,0.03363530635804615,12.118413248498127,11.12327902432925,0.0,0.6734690750268584,0.08928590129473069,0.6433579159010255,0.07429750812206537,-0.03011115912583273,-0.014988393172665315,16.966335778538067,2.4197788272172702,0.0,0.0,16.966335778538067,2.4197788272172702
1.34,0.03370688657456638,12.092459761552284,13.395871702646659,0.0,0.6738630626704403,0.0853684103556751,0.6438738355876568,0.06998008811028603,-0.029989227082783287,-0.015388322245389219,16.872706933842473,2.7869206831530704,0.0,0.0,16.872706933842473,2.7869206831530704
1.36,0.033517081499425304,12.186038478030554,14.249774203393665,0.0,0.674154107405692,0.08055370392730188,0.6440882092064817,0.06574031411558692,-0.030065898199210572,-0.014813389811715094,17.061373588061652,2.4307609641169288,0.0,0.0,17.061373588061652,2.4307609641169288
1.3800000000000001,0.033505570986311184,12.151462927985893,17.63455316299522,0.0,0.6738218783835919,0.07685983063493884,0.6440038754811804,0.06157879696471452,-0.029818002902411322,-0.015281033670224264,16.93598204471883,2.913522740840096,0.0,0.0,16.93598204471883,2.913522740840096
1.4000000000000001,0.03318204988611545,12.270940804248815,19.107667717498906,0.0,0.6734983877063172,0.07193777055836303,0.6436238820377465,0.05749608278638846,-0.029874505668570528,-0.014441687771974632,17.182398306762995,2.432522326825657,0.0,0.0,17.182398306762995,2.432522326825657
1.4200000000000002,0.03313495395132827,12.216619946848562,23.804587847794625,0.0,0.6724640894603491,0.06855688644173341,0.6429514812317189,0.05349265300952602,-0.02951260822863011,-0.01506423343220753,17.00003520465218,3.080650725425207,0.0,0.0,17.00003520465218,3.080650725425207
